State,County,Violent Crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson1,
ALABAMA - Nonmetropolitan Counties,Washington,34.0,0.0,4.0,0.0,30.0,103.0,25.0,67.0,11.0,,
ALABAMA - Nonmetropolitan Counties,Wilcox,27.0,0.0,0.0,1.0,26.0,126.0,53.0,60.0,13.0,,
ALABAMA - Nonmetropolitan Counties,Winston,18.0,0.0,2.0,1.0,15.0,263.0,91.0,164.0,8.0,,
ARIZONA - Metropolitan Counties,Coconino,77.0,2.0,12.0,3.0,60.0,565.0,180.0,353.0,32.0,4.0,
ARIZONA - Metropolitan Counties,Maricopa,992.0,25.0,39.0,118.0,810.0,6264.0,1841.0,3658.0,765.0,204.0,
ARIZONA - Metropolitan Counties,Mohave,192.0,1.0,4.0,18.0,169.0,1995.0,669.0,1162.0,164.0,18.0,
ARIZONA - Metropolitan Counties,Pima,635.0,18.0,74.0,195.0,348.0,11706.0,2443.0,8237.0,1026.0,133.0,
ARIZONA - Metropolitan Counties,Pinal,214.0,8.0,50.0,41.0,115.0,3814.0,740.0,2494.0,580.0,18.0,
ARIZONA - Metropolitan Counties,Yavapai,279.0,1.0,16.0,6.0,256.0,1419.0,468.0,837.0,114.0,5.0,
ARIZONA - Metropolitan Counties,Yuma,104.0,6.0,8.0,4.0,86.0,797.0,389.0,320.0,88.0,11.0,
ARIZONA - Nonmetropolitan Counties,Apache,32.0,2.0,7.0,0.0,23.0,189.0,109.0,75.0,5.0,0.0,
ARIZONA - Nonmetropolitan Counties,Cochise,472.0,3.0,14.0,23.0,432.0,973.0,402.0,451.0,120.0,11.0,
ARIZONA - Nonmetropolitan Counties,Gila,60.0,0.0,2.0,3.0,55.0,331.0,46.0,250.0,35.0,1.0,
ARIZONA - Nonmetropolitan Counties,Graham2,,0.0,0.0,1.0,,289.0,105.0,152.0,32.0,23.0,
ARIZONA - Nonmetropolitan Counties,La Paz,38.0,0.0,0.0,4.0,34.0,382.0,99.0,249.0,34.0,10.0,
ARIZONA - Nonmetropolitan Counties,Navajo,50.0,1.0,6.0,3.0,40.0,668.0,406.0,192.0,70.0,6.0,
ARIZONA - Nonmetropolitan Counties,Santa Cruz,18.0,2.0,0.0,9.0,7.0,391.0,168.0,130.0,93.0,1.0,
ARKANSAS - Metropolitan Counties,Benton,158.0,2.0,16.0,2.0,138.0,481.0,226.0,238.0,17.0,9.0,
ARKANSAS - Metropolitan Counties,Cleveland,8.0,0.0,0.0,0.0,8.0,86.0,40.0,34.0,12.0,0.0,
ARKANSAS - Metropolitan Counties,Craighead,32.0,0.0,5.0,1.0,26.0,360.0,160.0,184.0,16.0,7.0,
ARKANSAS - Metropolitan Counties,Crittenden,75.0,1.0,9.0,6.0,59.0,329.0,108.0,193.0,28.0,4.0,
ARKANSAS - Metropolitan Counties,Faulkner,58.0,0.0,14.0,1.0,43.0,855.0,260.0,494.0,101.0,14.0,
ARKANSAS - Metropolitan Counties,Franklin,29.0,0.0,2.0,0.0,27.0,175.0,63.0,103.0,9.0,0.0,
ARKANSAS - Metropolitan Counties,Garland,147.0,5.0,21.0,20.0,101.0,2483.0,1230.0,1058.0,195.0,27.0,
ARKANSAS - Metropolitan Counties,Grant,30.0,0.0,2.0,0.0,28.0,208.0,85.0,113.0,10.0,2.0,
ARKANSAS - Metropolitan Counties,Jefferson,81.0,1.0,12.0,6.0,62.0,467.0,238.0,159.0,70.0,4.0,
ARKANSAS - Metropolitan Counties,Lincoln,14.0,1.0,1.0,1.0,11.0,99.0,69.0,28.0,2.0,0.0,
ARKANSAS - Metropolitan Counties,Lonoke,144.0,0.0,19.0,2.0,123.0,537.0,242.0,246.0,49.0,5.0,
ARKANSAS - Metropolitan Counties,Madison,31.0,1.0,7.0,0.0,23.0,73.0,37.0,33.0,3.0,7.0,
ARKANSAS - Metropolitan Counties,Perry,21.0,0.0,3.0,0.0,18.0,65.0,58.0,7.0,0.0,0.0,
ARKANSAS - Metropolitan Counties,Poinsett,50.0,2.0,2.0,0.0,46.0,74.0,64.0,3.0,7.0,1.0,
ARKANSAS - Metropolitan Counties,Pulaski,354.0,3.0,16.0,26.0,309.0,1692.0,725.0,813.0,154.0,11.0,
ARKANSAS - Metropolitan Counties,Sebastian,49.0,0.0,4.0,2.0,43.0,373.0,120.0,243.0,10.0,2.0,
ARKANSAS - Metropolitan Counties,Washington,142.0,0.0,15.0,0.0,127.0,551.0,193.0,294.0,64.0,11.0,
ARKANSAS - Nonmetropolitan Counties,Arkansas,8.0,0.0,1.0,2.0,5.0,83.0,35.0,35.0,13.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Ashley,20.0,0.0,1.0,1.0,18.0,194.0,74.0,105.0,15.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Baxter,42.0,1.0,7.0,3.0,31.0,641.0,86.0,522.0,33.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Boone,31.0,1.0,8.0,0.0,22.0,189.0,61.0,128.0,0.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Bradley,5.0,0.0,0.0,0.0,5.0,34.0,17.0,15.0,2.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Calhoun,3.0,0.0,0.0,0.0,3.0,17.0,3.0,14.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Carroll,26.0,2.0,0.0,0.0,24.0,190.0,54.0,118.0,18.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Chicot,4.0,1.0,1.0,0.0,2.0,61.0,22.0,36.0,3.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Clark,27.0,1.0,4.0,2.0,20.0,120.0,52.0,63.0,5.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Clay,10.0,0.0,3.0,0.0,7.0,99.0,46.0,51.0,2.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Cleburne,34.0,0.0,5.0,1.0,28.0,357.0,171.0,163.0,23.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Columbia,45.0,3.0,1.0,1.0,40.0,158.0,50.0,89.0,19.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Conway,22.0,3.0,3.0,1.0,15.0,249.0,62.0,174.0,13.0,14.0,
ARKANSAS - Nonmetropolitan Counties,Cross,57.0,1.0,4.0,0.0,52.0,174.0,37.0,131.0,6.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Dallas,8.0,0.0,0.0,4.0,4.0,39.0,24.0,14.0,1.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Drew,33.0,1.0,6.0,1.0,25.0,139.0,56.0,56.0,27.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Fulton,29.0,2.0,0.0,1.0,26.0,71.0,41.0,29.0,1.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Greene,19.0,1.0,5.0,0.0,13.0,142.0,67.0,64.0,11.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Hempstead,28.0,0.0,7.0,0.0,21.0,174.0,57.0,87.0,30.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Howard,19.0,0.0,1.0,0.0,18.0,80.0,38.0,42.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Independence,218.0,1.0,18.0,14.0,185.0,1332.0,579.0,656.0,97.0,17.0,
ARKANSAS - Nonmetropolitan Counties,Izard,4.0,0.0,2.0,0.0,2.0,76.0,33.0,39.0,4.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Jackson,22.0,0.0,3.0,2.0,17.0,171.0,81.0,77.0,13.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Johnson,34.0,2.0,6.0,0.0,26.0,152.0,119.0,33.0,0.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Lawrence,13.0,1.0,1.0,0.0,11.0,155.0,76.0,79.0,0.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Lee,15.0,0.0,1.0,1.0,13.0,67.0,42.0,17.0,8.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Little River,9.0,1.0,1.0,0.0,7.0,67.0,27.0,37.0,3.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Logan,14.0,0.0,1.0,0.0,13.0,230.0,96.0,114.0,20.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Marion,26.0,0.0,5.0,0.0,21.0,185.0,72.0,110.0,3.0,5.0,
ARKANSAS - Nonmetropolitan Counties,Mississippi,34.0,0.0,9.0,3.0,22.0,317.0,83.0,199.0,35.0,8.0,
ARKANSAS - Nonmetropolitan Counties,Monroe,2.0,0.0,0.0,0.0,2.0,42.0,35.0,7.0,0.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Montgomery,5.0,1.0,0.0,0.0,4.0,20.0,11.0,9.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Nevada,1.0,0.0,1.0,0.0,0.0,28.0,20.0,7.0,1.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Newton,25.0,1.0,3.0,0.0,21.0,126.0,46.0,76.0,4.0,5.0,
ARKANSAS - Nonmetropolitan Counties,Ouachita,15.0,0.0,0.0,2.0,13.0,86.0,56.0,30.0,0.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Pike,3.0,0.0,0.0,0.0,3.0,42.0,20.0,19.0,3.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Polk,35.0,3.0,6.0,4.0,22.0,171.0,76.0,91.0,4.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Prairie,4.0,1.0,0.0,1.0,2.0,69.0,30.0,29.0,10.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Randolph,4.0,1.0,3.0,0.0,0.0,80.0,61.0,19.0,0.0,0.0,
