State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3
ARKANSAS-Metropolitan Counties,Lonoke,122,5,,12,4,101,616,209,339,68,5
ARKANSAS-Metropolitan Counties,Madison,30,1,,5,0,24,61,24,31,6,4
ARKANSAS-Metropolitan Counties,Perry,14,0,,1,0,13,64,41,21,2,3
ARKANSAS-Metropolitan Counties,Poinsett,66,0,,3,2,61,112,103,4,5,6
ARKANSAS-Metropolitan Counties,Pulaski,402,4,,17,36,345,2223,898,1056,269,11
ARKANSAS-Metropolitan Counties,Saline,95,0,,10,5,80,1016,315,645,56,3
ARKANSAS-Metropolitan Counties,Sebastian,66,1,,6,5,54,413,150,243,20,2
ARKANSAS-Metropolitan Counties,Washington,142,1,,24,4,113,657,259,354,44,4
ARKANSAS-Nonmetropolitan Counties,Arkansas,7,0,,1,0,6,90,32,47,11,1
ARKANSAS-Nonmetropolitan Counties,Ashley,12,0,,2,0,10,149,53,86,10,0
ARKANSAS-Nonmetropolitan Counties,Baxter,31,1,,0,1,29,613,112,464,37,6
ARKANSAS-Nonmetropolitan Counties,Boone,42,2,,12,0,28,301,98,171,32,4
ARKANSAS-Nonmetropolitan Counties,Bradley,4,0,,1,0,3,18,10,4,4,0
ARKANSAS-Nonmetropolitan Counties,Calhoun,1,0,,0,0,1,23,15,5,3,0
ARKANSAS-Nonmetropolitan Counties,Carroll,27,0,,2,0,25,225,53,155,17,6
ARKANSAS-Nonmetropolitan Counties,Chicot,6,1,,1,0,4,80,7,58,15,0
ARKANSAS-Nonmetropolitan Counties,Clark,18,0,,2,0,16,171,87,72,12,1
ARKANSAS-Nonmetropolitan Counties,Clay,12,0,,2,0,10,90,31,56,3,0
ARKANSAS-Nonmetropolitan Counties,Cleburne,50,1,,6,1,42,376,175,170,31,2
ARKANSAS-Nonmetropolitan Counties,Columbia,30,0,,2,3,25,199,60,132,7,0
ARKANSAS-Nonmetropolitan Counties,Cross,35,0,,1,1,33,214,41,164,9,0
ARKANSAS-Nonmetropolitan Counties,Dallas,0,0,,0,0,0,23,5,18,0,0
ARKANSAS-Nonmetropolitan Counties,Drew,35,1,,1,0,33,133,44,75,14,1
ARKANSAS-Nonmetropolitan Counties,Fulton,11,0,,1,0,10,77,38,38,1,0
ARKANSAS-Nonmetropolitan Counties,Greene,15,0,,3,0,12,203,90,106,7,4
ARKANSAS-Nonmetropolitan Counties,Hempstead,26,0,,5,1,20,139,52,74,13,1
ARKANSAS-Nonmetropolitan Counties,Howard,8,0,,3,0,5,107,51,56,0,0
ARKANSAS-Nonmetropolitan Counties,Independence,101,2,,13,6,80,1258,431,745,82,13
ARKANSAS-Nonmetropolitan Counties,Izard,12,0,,0,2,10,100,52,39,9,4
ARKANSAS-Nonmetropolitan Counties,Jackson,25,0,,7,0,18,164,55,93,16,2
ARKANSAS-Nonmetropolitan Counties,Johnson,0,0,,0,0,0,120,27,89,4,0
ARKANSAS-Nonmetropolitan Counties,Lafayette,5,0,,0,1,4,60,55,2,3,0
ARKANSAS-Nonmetropolitan Counties,Lawrence,26,0,,2,0,24,164,85,79,0,1
ARKANSAS-Nonmetropolitan Counties,Lee,16,5,,1,0,10,14,10,4,0,0
ARKANSAS-Nonmetropolitan Counties,Little River,2,0,,0,0,2,33,7,23,3,1
ARKANSAS-Nonmetropolitan Counties,Logan,18,0,,6,1,11,258,91,145,22,5
ARKANSAS-Nonmetropolitan Counties,Marion,41,0,,3,0,38,169,44,122,3,3
ARKANSAS-Nonmetropolitan Counties,Mississippi,43,0,,8,5,30,400,99,254,47,4
ARKANSAS-Nonmetropolitan Counties,Monroe,2,0,,0,0,2,58,16,26,16,1
ARKANSAS-Nonmetropolitan Counties,Montgomery2,,0,,3,0,,157,38,104,15,0
ARKANSAS-Nonmetropolitan Counties,Nevada,16,2,,1,1,12,32,13,17,2,0
ARKANSAS-Nonmetropolitan Counties,Ouachita,29,1,,2,5,21,215,87,106,22,2
ARKANSAS-Nonmetropolitan Counties,Polk,31,0,,1,2,28,154,66,77,11,1
ARKANSAS-Nonmetropolitan Counties,Pope,42,0,,9,0,33,378,140,209,29,3
ARKANSAS-Nonmetropolitan Counties,Randolph,7,0,,3,0,4,12,5,7,0,1
ARKANSAS-Nonmetropolitan Counties,Scott,6,0,,4,0,2,67,33,32,2,1
ARKANSAS-Nonmetropolitan Counties,Searcy,1,0,,0,0,1,15,11,3,1,0
ARKANSAS-Nonmetropolitan Counties,Sevier,14,0,,3,2,9,144,58,81,5,1
ARKANSAS-Nonmetropolitan Counties,St. Francis,40,1,,2,12,25,401,129,271,1,2
ARKANSAS-Nonmetropolitan Counties,Stone,3,0,,0,0,3,31,13,16,2,1
ARKANSAS-Nonmetropolitan Counties,Union,25,0,,1,6,18,421,68,313,40,3
ARKANSAS-Nonmetropolitan Counties,Van Buren,21,0,,1,0,20,124,26,80,18,0
ARKANSAS-Nonmetropolitan Counties,White,62,0,,14,3,45,789,285,420,84,4
ARKANSAS-Nonmetropolitan Counties,Woodruff,0,0,,0,0,0,14,1,10,3,0
ARKANSAS-Nonmetropolitan Counties,Yell,52,0,,3,1,48,116,71,27,18,6
CALIFORNIA-Metropolitan Counties,Alameda,683,6,,27,293,357,2864,676,1275,913,33
CALIFORNIA-Metropolitan Counties,Butte,217,5,,21,34,157,1502,565,920,17,50
CALIFORNIA-Metropolitan Counties,Contra Costa,666,11,,42,218,395,3503,1147,2336,20,35
CALIFORNIA-Metropolitan Counties,El Dorado,236,3,,20,24,189,2034,652,1350,32,20
CALIFORNIA-Metropolitan Counties,Fresno,618,17,,33,149,419,6497,1705,3812,980,
CALIFORNIA-Metropolitan Counties,Imperial,106,0,,10,11,85,945,301,616,28,6
CALIFORNIA-Metropolitan Counties,Kern,1918,28,,92,400,1398,11001,3118,6352,1531,286
CALIFORNIA-Metropolitan Counties,Kings,113,4,,6,22,81,460,186,262,12,
CALIFORNIA-Metropolitan Counties,Los Angeles,7784,127,,218,2185,5254,20516,5293,9516,5707,455
CALIFORNIA-Metropolitan Counties,Madera,310,1,,13,18,278,1282,505,764,13,2
CALIFORNIA-Metropolitan Counties,Marin,130,1,,3,26,100,822,233,586,3,
CALIFORNIA-Metropolitan Counties,Merced,451,8,,26,40,377,2240,820,1406,14,17
CALIFORNIA-Metropolitan Counties,Monterey,219,7,,20,64,128,1952,599,1317,36,14
CALIFORNIA-Metropolitan Counties,Napa,79,0,,10,4,65,562,194,362,6,6
CALIFORNIA-Metropolitan Counties,Orange,178,1,,9,33,135,1481,296,1023,162,25
CALIFORNIA-Metropolitan Counties,Placer,255,2,,26,28,199,1997,634,1329,34,19
CALIFORNIA-Metropolitan Counties,Riverside,2243,32,,112,461,1638,14935,3829,8226,2880,61
CALIFORNIA-Metropolitan Counties,Sacramento,3231,40,,172,1251,1768,14912,4695,9928,289,111
CALIFORNIA-Metropolitan Counties,San Benito,57,1,,6,0,50,327,135,179,13,9
CALIFORNIA-Metropolitan Counties,San Bernardino,1286,24,,69,194,999,6569,2178,2990,1401,114
CALIFORNIA-Metropolitan Counties,San Diego,1699,13,,99,296,1291,7564,2055,3625,1884,58
CALIFORNIA-Metropolitan Counties,San Joaquin,1081,12,,30,234,805,5269,1751,3334,184,26
CALIFORNIA-Metropolitan Counties,San Luis Obispo,239,0,,29,16,194,1356,449,897,10,7
