State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,
TEXAS Metropolitan Counties,Calhoun,27,0,,3,0,24,161,49,104,8,
TEXAS Metropolitan Counties,Callahan,12,0,,3,0,9,58,20,35,3,
TEXAS Metropolitan Counties,Cameron,193,2,,15,16,160,1725,740,827,158,
TEXAS Metropolitan Counties,Chambers,92,1,,0,6,85,487,229,229,29,
TEXAS Metropolitan Counties,Clay,16,0,,3,2,11,178,56,106,16,
TEXAS Metropolitan Counties,Collin,96,1,,24,1,70,681,237,373,71,
TEXAS Metropolitan Counties,Comal,159,1,,21,10,127,906,300,567,39,
TEXAS Metropolitan Counties,Coryell,9,0,,1,0,8,107,56,46,5,
TEXAS Metropolitan Counties,Crosby,0,0,,0,0,0,4,2,2,0,
TEXAS Metropolitan Counties,Dallas,42,3,,0,4,35,343,74,230,39,
TEXAS Metropolitan Counties,Delta,4,0,,0,2,2,107,52,53,2,
TEXAS Metropolitan Counties,Denton,78,0,,3,6,69,934,285,616,33,
TEXAS Metropolitan Counties,Ector,54,1,,2,8,43,910,230,622,58,
TEXAS Metropolitan Counties,Ellis,157,2,,3,9,143,1071,396,558,117,
TEXAS Metropolitan Counties,El Paso,218,8,,25,19,166,1216,310,763,143,
TEXAS Metropolitan Counties,Fort Bend,703,14,,42,127,520,3458,1138,2049,271,
TEXAS Metropolitan Counties,Galveston,140,1,,11,17,111,812,353,394,65,
TEXAS Metropolitan Counties,Goliad,1,0,,0,0,1,33,14,18,1,
TEXAS Metropolitan Counties,Grayson,32,0,,6,5,21,898,327,493,78,
TEXAS Metropolitan Counties,Gregg,77,2,,23,11,41,885,209,571,105,
TEXAS Metropolitan Counties,Guadalupe,103,1,,8,2,92,799,287,458,54,
TEXAS Metropolitan Counties,Hardin,46,1,,10,2,33,406,128,204,74,
TEXAS Metropolitan Counties,Harris,7539,67,,338,2214,4920,43004,11543,25710,5751,
TEXAS Metropolitan Counties,Hays,72,0,,4,2,66,585,217,342,26,
TEXAS Metropolitan Counties,Hidalgo,1067,15,,88,167,797,6093,2124,3505,464,
TEXAS Metropolitan Counties,Hunt,36,3,,0,9,24,1006,374,537,95,
TEXAS Metropolitan Counties,Irion,0,0,,0,0,0,30,15,14,1,
TEXAS Metropolitan Counties,Jefferson,42,4,,2,8,28,471,141,269,61,
TEXAS Metropolitan Counties,Johnson,137,3,,0,6,128,1429,443,836,150,
TEXAS Metropolitan Counties,Jones,8,0,,0,0,8,37,12,18,7,
TEXAS Metropolitan Counties,Kaufman,200,1,,10,10,179,1550,609,754,187,
TEXAS Metropolitan Counties,Kendall,37,1,,9,1,26,192,44,139,9,
TEXAS Metropolitan Counties,Lampasas,2,0,,0,0,2,56,23,30,3,
TEXAS Metropolitan Counties,Liberty,139,5,,11,11,112,767,283,350,134,
TEXAS Metropolitan Counties,McLennan,90,1,,25,7,57,858,301,493,64,
TEXAS Metropolitan Counties,Medina,51,1,,7,3,40,288,126,151,11,
TEXAS Metropolitan Counties,Midland,62,0,,10,4,48,443,131,293,19,
TEXAS Metropolitan Counties,Montgomery,791,10,,49,112,620,6600,1874,4094,632,
TEXAS Metropolitan Counties,Nueces,62,0,,23,3,36,311,101,177,33,
TEXAS Metropolitan Counties,Orange,142,0,,19,9,114,957,359,469,129,
TEXAS Metropolitan Counties,Parker,86,1,,16,4,65,1064,337,638,89,
TEXAS Metropolitan Counties,Potter,25,2,,0,1,22,211,47,142,22,
TEXAS Metropolitan Counties,Randall,52,0,,4,3,45,327,95,208,24,
TEXAS Metropolitan Counties,Robertson,8,1,,0,1,6,153,54,81,18,
TEXAS Metropolitan Counties,Rockwall,49,0,,0,0,49,242,105,122,15,
TEXAS Metropolitan Counties,Rusk,75,4,,3,5,63,612,221,302,89,
TEXAS Metropolitan Counties,San Jacinto,60,0,,0,4,56,540,218,255,67,
TEXAS Metropolitan Counties,San Patricio,40,1,,0,0,39,329,99,203,27,
TEXAS Metropolitan Counties,Smith,315,1,,31,24,259,1809,714,906,189,
TEXAS Metropolitan Counties,Tarrant,90,0,,17,11,62,1289,405,752,132,
TEXAS Metropolitan Counties,Taylor,14,1,,1,0,12,148,59,76,13,
TEXAS Metropolitan Counties,Tom Green,25,0,,2,0,23,263,80,174,9,
TEXAS Metropolitan Counties,Travis,281,4,,37,31,209,3454,1096,2155,203,
TEXAS Metropolitan Counties,Upshur,87,0,,3,4,80,591,221,306,64,
TEXAS Metropolitan Counties,Victoria,55,2,,13,1,39,503,131,331,41,
TEXAS Metropolitan Counties,Waller,20,1,,7,0,12,284,128,118,38,
TEXAS Metropolitan Counties,Webb,58,2,,0,4,52,319,114,168,37,
TEXAS Metropolitan Counties,Wichita,10,0,,5,1,4,153,73,71,9,
TEXAS Metropolitan Counties,Williamson,201,1,,32,14,154,1745,447,1200,98,
TEXAS Metropolitan Counties,Wilson,23,0,,4,1,18,159,37,109,13,
TEXAS Metropolitan Counties,Wise,152,1,,7,2,142,640,206,425,9,
TEXAS Nonmetropolitan Counties,Anderson,77,1,,21,1,54,382,190,163,29,
TEXAS Nonmetropolitan Counties,Andrews,1,0,,0,0,1,67,24,40,3,
TEXAS Nonmetropolitan Counties,Angelina,217,0,,11,11,195,542,212,280,50,
TEXAS Nonmetropolitan Counties,Bailey,1,1,,0,0,0,33,15,17,1,
TEXAS Nonmetropolitan Counties,Baylor,0,0,,0,0,0,15,7,7,1,
TEXAS Nonmetropolitan Counties,Bee,28,1,,5,0,22,154,52,89,13,
TEXAS Nonmetropolitan Counties,Blanco,5,0,,1,0,4,36,19,14,3,
TEXAS Nonmetropolitan Counties,Borden,1,0,,0,0,1,4,1,3,0,
TEXAS Nonmetropolitan Counties,Bosque,18,0,,3,4,11,143,39,93,11,
TEXAS Nonmetropolitan Counties,Brewster,8,0,,0,0,8,31,15,13,3,
TEXAS Nonmetropolitan Counties,Briscoe,1,0,,0,0,1,6,5,1,0,
TEXAS Nonmetropolitan Counties,Brooks,0,0,,0,0,0,13,4,9,0,
TEXAS Nonmetropolitan Counties,Brown,27,0,,2,1,24,213,62,136,15,
TEXAS Nonmetropolitan Counties,Burnet,34,0,,8,1,25,276,104,149,23,
TEXAS Nonmetropolitan Counties,Camp,17,0,,0,1,16,127,58,63,6,
TEXAS Nonmetropolitan Counties,Cass,21,1,,8,2,10,269,101,129,39,
TEXAS Nonmetropolitan Counties,Castro,6,0,,2,0,4,27,8,17,2,
TEXAS Nonmetropolitan Counties,Cherokee,97,0,,16,3,78,497,206,229,62,
TEXAS Nonmetropolitan Counties,Childress,1,0,,0,0,1,24,9,12,3,
TEXAS Nonmetropolitan Counties,Cochran,3,0,,0,1,2,68,32,34,2,
TEXAS Nonmetropolitan Counties,Coke,0,0,,0,0,0,9,5,4,0,
TEXAS Nonmetropolitan Counties,Coleman,2,0,,1,0,1,37,10,27,0,
TEXAS Nonmetropolitan Counties,Collingsworth,0,0,,0,0,0,0,0,0,0,
TEXAS Nonmetropolitan Counties,Colorado,16,1,,3,3,9,179,46,115,18,
TEXAS Nonmetropolitan Counties,Comanche,6,0,,2,0,4,116,41,67,8,
TEXAS Nonmetropolitan Counties,Concho,1,0,,0,0,1,12,7,5,0,
TEXAS Nonmetropolitan Counties,Cooke,58,1,,3,4,50,263,88,139,36,
TEXAS Nonmetropolitan Counties,Cottle,0,0,,0,0,0,1,0,1,0,
TEXAS Nonmetropolitan Counties,Crane,2,0,,0,0,2,41,10,26,5,
TEXAS Nonmetropolitan Counties,Crockett,20,0,,4,0,16,38,12,24,2,
TEXAS Nonmetropolitan Counties,Culberson,0,0,,0,0,0,4,1,3,0,
TEXAS Nonmetropolitan Counties,Dallam,3,0,,0,0,3,18,5,13,0,
TEXAS Nonmetropolitan Counties,Dawson,3,0,,0,1,2,33,16,13,4,
TEXAS Nonmetropolitan Counties,Deaf Smith,6,0,,0,1,5,52,10,29,13,
TEXAS Nonmetropolitan Counties,Dewitt,12,0,,1,0,11,61,18,38,5,
TEXAS Nonmetropolitan Counties,Dickens,1,0,,0,0,1,2,2,0,0,
TEXAS Nonmetropolitan Counties,Dimmit,45,1,,2,1,41,315,136,147,32,
TEXAS Nonmetropolitan Counties,Donley,5,0,,0,1,4,30,16,12,2,
TEXAS Nonmetropolitan Counties,Duval,14,0,,2,0,12,109,41,59,9,
TEXAS Nonmetropolitan Counties,Eastland,1,0,,0,0,1,83,36,40,7,
TEXAS Nonmetropolitan Counties,Edwards,3,0,,0,1,2,29,8,19,2,
TEXAS Nonmetropolitan Counties,Erath,17,0,,2,0,15,186,64,101,21,
TEXAS Nonmetropolitan Counties,Falls,23,1,,2,0,20,84,31,47,6,
TEXAS Nonmetropolitan Counties,Fannin,23,0,,3,3,17,306,138,156,12,
TEXAS Nonmetropolitan Counties,Fayette,2,1,,0,0,1,139,51,85,3,
TEXAS Nonmetropolitan Counties,Fisher,8,0,,4,0,4,60,27,31,2,
TEXAS Nonmetropolitan Counties,Floyd,2,0,,0,0,2,12,3,7,2,
TEXAS Nonmetropolitan Counties,Foard,2,0,,1,0,1,0,0,0,0,
TEXAS Nonmetropolitan Counties,Franklin,4,1,,1,0,2,130,42,77,11,
TEXAS Nonmetropolitan Counties,Freestone,14,0,,2,2,10,109,35,63,11,
TEXAS Nonmetropolitan Counties,Frio,0,0,,0,0,0,51,24,24,3,
TEXAS Nonmetropolitan Counties,Gaines,4,0,,0,0,4,60,13,43,4,
TEXAS Nonmetropolitan Counties,Garza,3,0,,1,0,2,94,31,57,6,
TEXAS Nonmetropolitan Counties,Gillespie,3,0,,0,0,3,100,21,77,2,
TEXAS Nonmetropolitan Counties,Glasscock,0,0,,0,0,0,0,0,0,0,
TEXAS Nonmetropolitan Counties,Gonzales,31,0,,4,0,27,125,45,74,6,
TEXAS Nonmetropolitan Counties,Gray,11,0,,0,2,9,85,26,45,14,
TEXAS Nonmetropolitan Counties,Grimes,31,0,,5,2,24,295,121,149,25,
TEXAS Nonmetropolitan Counties,Hale,9,0,,2,0,7,128,63,61,4,
TEXAS Nonmetropolitan Counties,Hall,0,0,,0,0,0,19,4,10,5,
TEXAS Nonmetropolitan Counties,Hamilton,10,0,,0,1,9,127,43,74,10,
TEXAS Nonmetropolitan Counties,Hansford,3,0,,1,0,2,13,5,7,1,
TEXAS Nonmetropolitan Counties,Hardeman,10,0,,4,3,3,122,57,58,7,
TEXAS Nonmetropolitan Counties,Harrison,142,2,,4,0,136,933,313,573,47,
TEXAS Nonmetropolitan Counties,Hartley,0,0,,0,0,0,18,7,8,3,
TEXAS Nonmetropolitan Counties,Haskell,1,0,,0,0,1,23,11,12,0,
TEXAS Nonmetropolitan Counties,Hemphill,15,0,,1,1,13,44,11,29,4,
TEXAS Nonmetropolitan Counties,Henderson,246,2,,1,11,232,1137,483,591,63,
TEXAS Nonmetropolitan Counties,Hill,14,1,,2,3,8,345,120,196,29,
TEXAS Nonmetropolitan Counties,Hockley,12,0,,1,0,11,69,19,43,7,
TEXAS Nonmetropolitan Counties,Hood,48,1,,0,8,39,714,204,451,59,
TEXAS Nonmetropolitan Counties,Hopkins,35,0,,13,0,22,239,100,124,15,
TEXAS Nonmetropolitan Counties,Houston,16,0,,3,1,12,127,63,56,8,
TEXAS Nonmetropolitan Counties,Howard,12,0,,2,1,9,61,30,27,4,
TEXAS Nonmetropolitan Counties,Hudspeth,9,0,,0,0,9,32,16,15,1,
TEXAS Nonmetropolitan Counties,Hutchinson,12,0,,0,0,12,73,27,43,3,
TEXAS Nonmetropolitan Counties,Jack,6,0,,2,0,4,23,11,9,3,
TEXAS Nonmetropolitan Counties,Jackson,13,0,,0,0,13,86,27,56,3,
TEXAS Nonmetropolitan Counties,Jasper,85,2,,2,4,77,312,113,180,19,
TEXAS Nonmetropolitan Counties,Jeff Davis,7,0,,0,1,6,12,7,5,0,
TEXAS Nonmetropolitan Counties,Jim Hogg,10,0,,0,0,10,71,25,43,3,
TEXAS Nonmetropolitan Counties,Jim Wells,202,2,,11,3,186,383,183,172,28,
TEXAS Nonmetropolitan Counties,Karnes,16,0,,2,1,13,77,25,51,1,
TEXAS Nonmetropolitan Counties,Kenedy,2,0,,0,0,2,5,3,2,0,
TEXAS Nonmetropolitan Counties,Kent,3,1,,0,0,2,22,9,13,0,
TEXAS Nonmetropolitan Counties,Kerr,27,2,,5,4,16,348,108,222,18,
TEXAS Nonmetropolitan Counties,Kimble,1,0,,0,0,1,7,2,4,1,
TEXAS Nonmetropolitan Counties,King,0,0,,0,0,0,2,2,0,0,
TEXAS Nonmetropolitan Counties,Kinney,0,0,,0,0,0,5,1,1,3,
TEXAS Nonmetropolitan Counties,Kleberg,29,0,,3,1,25,935,50,881,4,
TEXAS Nonmetropolitan Counties,Knox,2,0,,0,0,2,19,5,12,2,
TEXAS Nonmetropolitan Counties,Lamar,41,0,,1,2,38,315,130,168,17,
TEXAS Nonmetropolitan Counties,Lamb,6,0,,1,0,5,86,31,49,6,
TEXAS Nonmetropolitan Counties,La Salle,6,0,,0,0,6,83,27,56,0,
TEXAS Nonmetropolitan Counties,Lavaca,15,4,,1,0,10,34,13,19,2,
TEXAS Nonmetropolitan Counties,Lee,16,1,,2,0,13,140,55,77,8,
TEXAS Nonmetropolitan Counties,Leon,40,1,,4,1,34,182,83,84,15,
TEXAS Nonmetropolitan Counties,Limestone,10,0,,1,0,9,227,65,150,12,
TEXAS Nonmetropolitan Counties,Lipscomb,3,0,,0,0,3,11,5,6,0,
TEXAS Nonmetropolitan Counties,Live Oak,1,0,,0,0,1,57,24,27,6,
TEXAS Nonmetropolitan Counties,Llano,11,0,,3,0,8,209,62,140,7,
TEXAS Nonmetropolitan Counties,Loving,0,0,,0,0,0,3,1,1,1,
TEXAS Nonmetropolitan Counties,Lynn,0,0,,0,0,0,16,9,5,2,
TEXAS Nonmetropolitan Counties,Madison,17,1,,0,1,15,96,33,53,10,
TEXAS Nonmetropolitan Counties,Marion,42,0,,6,5,31,195,92,84,19,
TEXAS Nonmetropolitan Counties,Martin,0,0,,0,0,0,7,2,4,1,
TEXAS Nonmetropolitan Counties,Mason,9,0,,1,1,7,60,16,43,1,
TEXAS Nonmetropolitan Counties,Matagorda,42,2,,2,2,36,282,97,169,16,
TEXAS Nonmetropolitan Counties,Maverick,88,0,,7,0,81,672,153,479,40,
TEXAS Nonmetropolitan Counties,McCulloch,1,0,,0,0,1,28,12,15,1,
TEXAS Nonmetropolitan Counties,McMullen,1,0,,0,0,1,12,2,10,0,
TEXAS Nonmetropolitan Counties,Menard,2,0,,0,0,2,11,2,8,1,
TEXAS Nonmetropolitan Counties,Milam,18,0,,3,1,14,168,84,73,11,
TEXAS Nonmetropolitan Counties,Mills,2,0,,0,0,2,24,15,8,1,
TEXAS Nonmetropolitan Counties,Mitchell,0,0,,0,0,0,19,2,16,1,
TEXAS Nonmetropolitan Counties,Montague,17,1,,6,0,10,105,29,69,7,
TEXAS Nonmetropolitan Counties,Moore,0,0,,0,0,0,63,23,34,6,
TEXAS Nonmetropolitan Counties,Morris,20,0,,0,1,19,84,33,42,9,
TEXAS Nonmetropolitan Counties,Motley,0,0,,0,0,0,3,2,1,0,
TEXAS Nonmetropolitan Counties,Nacogdoches,85,2,,11,5,67,339,141,160,38,
TEXAS Nonmetropolitan Counties,Navarro,30,2,,5,1,22,549,199,328,22,
TEXAS Nonmetropolitan Counties,Newton,22,0,,3,0,19,215,62,147,6,
TEXAS Nonmetropolitan Counties,Nolan,5,0,,1,2,2,34,11,20,3,
TEXAS Nonmetropolitan Counties,Ochiltree,8,0,,0,0,8,36,6,27,3,
TEXAS Nonmetropolitan Counties,Oldham,6,0,,1,0,5,13,3,9,1,
TEXAS Nonmetropolitan Counties,Palo Pinto,10,1,,0,1,8,135,61,67,7,
TEXAS Nonmetropolitan Counties,Panola,71,2,,2,3,64,310,89,176,45,
TEXAS Nonmetropolitan Counties,Parmer,3,0,,0,1,2,60,28,30,2,
TEXAS Nonmetropolitan Counties,Pecos,5,0,,0,0,5,25,7,17,1,
TEXAS Nonmetropolitan Counties,Polk,77,2,,26,6,43,724,302,359,63,
TEXAS Nonmetropolitan Counties,Presidio,1,0,,0,0,1,0,0,0,0,
TEXAS Nonmetropolitan Counties,Rains,18,0,,1,0,17,181,67,94,20,
TEXAS Nonmetropolitan Counties,Reagan,1,0,,0,0,1,34,7,22,5,
TEXAS Nonmetropolitan Counties,Real,0,0,,0,0,0,13,8,5,0,
TEXAS Nonmetropolitan Counties,Red River,20,1,,0,1,18,136,61,67,8,
TEXAS Nonmetropolitan Counties,Reeves,9,0,,0,0,9,80,14,60,6,
TEXAS Nonmetropolitan Counties,Refugio,23,0,,0,0,23,57,16,38,3,
TEXAS Nonmetropolitan Counties,Roberts,2,0,,0,0,2,33,8,22,3,
TEXAS Nonmetropolitan Counties,Runnels,8,0,,0,1,7,21,12,9,0,
TEXAS Nonmetropolitan Counties,Sabine,30,1,,0,1,28,118,49,64,5,
TEXAS Nonmetropolitan Counties,San Augustine,7,2,,0,0,5,74,38,34,2,
TEXAS Nonmetropolitan Counties,San Saba,3,0,,3,0,0,36,22,11,3,
TEXAS Nonmetropolitan Counties,Schleicher,3,0,,0,0,3,14,3,9,2,
TEXAS Nonmetropolitan Counties,Scurry,19,2,,2,0,15,68,25,40,3,
TEXAS Nonmetropolitan Counties,Shackelford,7,0,,2,0,5,18,4,11,3,
TEXAS Nonmetropolitan Counties,Shelby,29,2,,3,4,20,204,66,110,28,
TEXAS Nonmetropolitan Counties,Sherman,0,0,,0,0,0,3,0,2,1,
TEXAS Nonmetropolitan Counties,Somervell,10,2,,0,0,8,114,30,81,3,
TEXAS Nonmetropolitan Counties,Starr,45,5,,0,4,36,357,170,133,54,
TEXAS Nonmetropolitan Counties,Stephens,5,1,,2,0,2,29,6,22,1,
TEXAS Nonmetropolitan Counties,Sterling,0,0,,0,0,0,8,4,4,0,
TEXAS Nonmetropolitan Counties,Stonewall,2,0,,0,0,2,5,0,5,0,
TEXAS Nonmetropolitan Counties,Sutton,3,1,,0,1,1,13,2,9,2,
TEXAS Nonmetropolitan Counties,Swisher,3,0,,0,0,3,27,13,12,2,
TEXAS Nonmetropolitan Counties,Terrell,3,0,,0,0,3,11,7,4,0,
TEXAS Nonmetropolitan Counties,Terry,1,0,,1,0,0,27,6,16,5,
TEXAS Nonmetropolitan Counties,Throckmorton,1,0,,0,0,1,5,1,4,0,
TEXAS Nonmetropolitan Counties,Titus,69,2,,17,2,48,311,125,159,27,
TEXAS Nonmetropolitan Counties,Trinity,53,1,,7,4,41,120,48,56,16,
TEXAS Nonmetropolitan Counties,Tyler,51,1,,6,2,42,199,121,70,8,
TEXAS Nonmetropolitan Counties,Upton,6,2,,2,0,2,17,4,13,0,
TEXAS Nonmetropolitan Counties,Uvalde,28,0,,3,1,24,137,61,69,7,
TEXAS Nonmetropolitan Counties,Val Verde,0,0,,0,0,0,134,50,68,16,
TEXAS Nonmetropolitan Counties,Van Zandt,83,0,,0,7,76,923,316,505,102,
TEXAS Nonmetropolitan Counties,Walker,73,1,,15,6,51,377,152,191,34,
TEXAS Nonmetropolitan Counties,Ward,4,0,,0,1,3,13,5,6,2,
TEXAS Nonmetropolitan Counties,Washington,26,1,,3,3,19,145,81,55,9,
TEXAS Nonmetropolitan Counties,Wharton,71,3,,3,4,61,463,222,203,38,
TEXAS Nonmetropolitan Counties,Wheeler,4,0,,0,1,3,24,9,15,0,
TEXAS Nonmetropolitan Counties,Wilbarger,3,0,,0,0,3,25,11,12,2,
TEXAS Nonmetropolitan Counties,Willacy,24,0,,0,2,22,171,72,92,7,
TEXAS Nonmetropolitan Counties,Winkler,3,0,,0,0,3,41,11,28,2,
TEXAS Nonmetropolitan Counties,Wood,143,2,,1,0,140,537,254,264,19,
TEXAS Nonmetropolitan Counties,Yoakum,2,0,,0,0,2,41,5,33,3,
TEXAS Nonmetropolitan Counties,Young,15,0,,2,0,13,80,24,54,2,
TEXAS Nonmetropolitan Counties,Zapata,34,0,,1,5,28,214,84,105,25,
TEXAS Nonmetropolitan Counties,Zavala,15,0,,0,1,14,48,20,28,0,
UTAH Metropolitan Counties,Cache,26,0,,6,1,19,509,91,398,20,
UTAH Metropolitan Counties,Salt Lake,578,3,,86,88,401,9038,1697,6371,970,
UTAH Metropolitan Counties,Summit,18,0,,6,2,10,642,98,510,34,
UTAH Metropolitan Counties,Tooele,14,2,,3,1,8,184,53,121,10,
UTAH Metropolitan Counties,Utah,32,0,,9,0,23,524,147,339,38,
UTAH Metropolitan Counties,Washington,9,1,,2,1,5,201,49,130,22,
UTAH Metropolitan Counties,Weber,48,1,,10,7,30,1056,219,784,53,
UTAH Nonmetropolitan Counties,Beaver,11,0,,0,2,9,76,17,56,3,
UTAH Nonmetropolitan Counties,Box Elder,6,0,,5,0,1,221,42,173,6,
UTAH Nonmetropolitan Counties,Carbon,7,0,,3,1,3,166,50,100,16,
UTAH Nonmetropolitan Counties,Daggett,0,0,,0,0,0,13,7,5,1,
UTAH Nonmetropolitan Counties,Duchesne,6,0,,0,0,6,141,22,104,15,
UTAH Nonmetropolitan Counties,Emery,8,1,,2,1,4,107,22,83,2,
UTAH Nonmetropolitan Counties,Grand,8,0,,0,0,8,100,26,67,7,
UTAH Nonmetropolitan Counties,Iron,17,0,,2,1,14,158,40,86,32,
UTAH Nonmetropolitan Counties,Kane,4,0,,1,0,3,40,27,13,0,
UTAH Nonmetropolitan Counties,Millard,20,2,,5,1,12,304,63,230,11,
UTAH Nonmetropolitan Counties,Rich,1,0,,0,0,1,50,14,35,1,
UTAH Nonmetropolitan Counties,San Juan,3,0,,0,0,3,32,7,23,2,
UTAH Nonmetropolitan Counties,Sevier,9,0,,1,0,8,159,33,120,6,
UTAH Nonmetropolitan Counties,Uintah,57,0,,15,2,40,259,62,163,34,
UTAH Nonmetropolitan Counties,Wasatch,12,0,,1,0,11,191,30,153,8,
UTAH Nonmetropolitan Counties,Wayne,11,0,,0,0,11,148,14,134,0,
VERMONT Metropolitan Counties ,Franklin,20,0,,3,3,14,210,64,130,16,
VERMONT Metropolitan Counties ,Grand Isle,1,0,,0,0,1,109,44,62,3,
VERMONT Nonmetropolitan Counties,Addison,0,0,,0,0,0,0,0,0,0,
VERMONT Nonmetropolitan Counties,Bennington,1,0,,0,0,1,3,0,2,1,
VERMONT Nonmetropolitan Counties,Lamoille,7,0,,1,0,6,102,35,59,8,
VERMONT Nonmetropolitan Counties,Orange,0,0,,0,0,0,48,16,28,4,
VERMONT Nonmetropolitan Counties,Orleans,0,0,,0,0,0,1,0,1,0,
VERMONT Nonmetropolitan Counties,Rutland,0,0,,0,0,0,148,5,139,4,
VERMONT Nonmetropolitan Counties,Washington,0,0,,0,0,0,0,0,0,0,
VERMONT Nonmetropolitan Counties,Windham,1,0,,0,0,1,15,1,14,0,
VERMONT Nonmetropolitan Counties,Windsor,0,0,,0,0,0,0,0,0,0,
VIRGINIA Metropolitan Counties,Albemarle County Police Department,142,1,,25,42,74,2200,353,1735,112,
VIRGINIA Metropolitan Counties,Amelia,14,1,,1,0,12,101,34,61,6,
VIRGINIA Metropolitan Counties,Amherst,39,0,,10,8,21,392,60,312,20,
VIRGINIA Metropolitan Counties,Appomattox,4,0,,1,1,2,117,18,97,2,
VIRGINIA Metropolitan Counties,Arlington County Police Department,405,4,,44,167,190,3985,356,3289,340,
VIRGINIA Metropolitan Counties,Bedford,56,1,,10,1,44,671,136,497,38,
VIRGINIA Metropolitan Counties,Botetourt,16,0,,0,0,16,376,58,297,21,
VIRGINIA Metropolitan Counties,Campbell,74,4,,10,11,49,782,180,558,44,
VIRGINIA Metropolitan Counties,Caroline,76,3,,6,9,58,460,72,382,6,
VIRGINIA Metropolitan Counties,Charles City,4,0,,0,0,4,41,17,19,5,
VIRGINIA Metropolitan Counties,Chesterfield County Police Department,702,6,,66,324,306,7092,1396,5266,430,
VIRGINIA Metropolitan Counties,Cumberland,14,0,,4,0,10,80,35,36,9,
VIRGINIA Metropolitan Counties,Dinwiddie,49,3,,1,14,31,369,75,246,48,
VIRGINIA Metropolitan Counties,Fairfax County Police Department,745,10,,58,410,267,15218,1450,12323,1445,
VIRGINIA Metropolitan Counties,Fauquier,81,2,,3,9,67,700,103,556,41,
VIRGINIA Metropolitan Counties,Fluvanna,27,0,,3,4,20,171,33,121,17,
VIRGINIA Metropolitan Counties,Franklin,35,2,,8,2,23,532,79,401,52,
VIRGINIA Metropolitan Counties,Frederick,105,6,,28,21,50,1418,330,947,141,
VIRGINIA Metropolitan Counties,Giles,14,1,,7,3,3,189,25,147,17,
VIRGINIA Metropolitan Counties,Gloucester,15,0,,4,2,9,464,49,389,26,
VIRGINIA Metropolitan Counties,Goochland,58,3,,0,3,52,191,34,149,8,
VIRGINIA Metropolitan Counties,Greene,27,0,,1,3,23,276,31,154,91,
VIRGINIA Metropolitan Counties,Hanover,58,3,,0,22,33,1013,85,888,40,
VIRGINIA Metropolitan Counties,Henrico County Police Department,570,9,,43,290,228,8575,1432,6572,571,
VIRGINIA Metropolitan Counties,Isle of Wight,29,1,,4,7,17,457,105,313,39,
VIRGINIA Metropolitan Counties,James City County Police Department,64,1,,10,19,34,892,147,687,58,
VIRGINIA Metropolitan Counties,King and Queen,7,1,,0,0,6,52,22,28,2,
VIRGINIA Metropolitan Counties,King William,12,0,,0,1,11,59,12,41,6,
VIRGINIA Metropolitan Counties,Loudoun,172,2,,27,42,101,2946,299,2432,215,
VIRGINIA Metropolitan Counties,Louisa,24,1,,9,4,10,436,80,335,21,
VIRGINIA Metropolitan Counties,Mathews,5,0,,0,0,5,130,33,89,8,
VIRGINIA Metropolitan Counties,Montgomery,55,1,,6,5,43,574,163,361,50,
VIRGINIA Metropolitan Counties,Nelson,8,0,,0,0,8,281,55,205,21,
VIRGINIA Metropolitan Counties,New Kent,22,0,,3,5,14,256,52,189,15,
VIRGINIA Metropolitan Counties,Powhatan,7,0,,1,3,3,234,65,151,18,
VIRGINIA Metropolitan Counties,Prince George County Police Department,51,0,,10,11,30,423,98,281,44,
VIRGINIA Metropolitan Counties,Prince William County Police Department,809,14,,32,366,397,7462,1420,5376,666,
VIRGINIA Metropolitan Counties,Pulaski,39,3,,9,4,23,493,75,391,27,
VIRGINIA Metropolitan Counties,Roanoke County Police Department,162,0,,17,15,130,1100,251,796,53,
VIRGINIA Metropolitan Counties,Rockingham,26,1,,8,5,12,302,101,183,18,
VIRGINIA Metropolitan Counties,Scott,33,3,,4,2,24,439,149,250,40,
VIRGINIA Metropolitan Counties,Spotsylvania,201,4,,18,19,160,1658,9,1585,64,
VIRGINIA Metropolitan Counties,Surry,32,0,,3,4,25,83,42,39,2,
VIRGINIA Metropolitan Counties,Sussex,34,1,,6,3,24,212,62,130,20,
VIRGINIA Metropolitan Counties,Warren,11,0,,2,1,8,259,60,173,26,
VIRGINIA Metropolitan Counties,Washington,56,0,,10,11,35,1135,212,878,45,
VIRGINIA Metropolitan Counties,York,61,4,,8,21,28,1043,162,850,31,
VIRGINIA Nonmetropolitan Counties,Accomack,83,5,,5,39,34,511,119,336,56,
VIRGINIA Nonmetropolitan Counties,Alleghany,4,0,,0,0,4,89,23,62,4,
VIRGINIA Nonmetropolitan Counties,Bland,4,0,,1,0,3,97,41,55,1,
VIRGINIA Nonmetropolitan Counties,Brunswick,20,2,,0,1,17,155,40,94,21,
VIRGINIA Nonmetropolitan Counties,Buchanan,40,1,,9,5,25,596,113,445,38,
VIRGINIA Nonmetropolitan Counties,Buckingham,19,0,,1,3,15,170,64,97,9,
VIRGINIA Nonmetropolitan Counties,Carroll,44,1,,3,3,37,384,117,219,48,
