State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,
ARIZONA-Metropolitan Counties,Coconino,161.0,0.0,14.0,4.0,143.0,539.0,144.0,365.0,30.0,16.0,
ARIZONA-Metropolitan Counties,Maricopa,989.0,32.0,13.0,129.0,815.0,8081.0,2074.0,4782.0,1225.0,84.0,
ARIZONA-Metropolitan Counties,Mohave,225.0,6.0,4.0,21.0,194.0,3110.0,1027.0,1734.0,349.0,30.0,
ARIZONA-Metropolitan Counties,Pima,606.0,25.0,80.0,165.0,336.0,13012.0,2439.0,8891.0,1682.0,126.0,
ARIZONA-Metropolitan Counties,Pinal,290.0,11.0,60.0,41.0,178.0,5065.0,743.0,3405.0,917.0,18.0,
ARIZONA-Metropolitan Counties,Yavapai,325.0,3.0,12.0,3.0,307.0,1728.0,527.0,1054.0,147.0,12.0,
ARIZONA-Metropolitan Counties,Yuma,123.0,6.0,14.0,23.0,80.0,1391.0,284.0,910.0,197.0,16.0,
ARIZONA-Nonmetropolitan Counties,Cochise2,,2.0,17.0,17.0,,1383.0,564.0,656.0,163.0,20.0,
ARIZONA-Nonmetropolitan Counties,Gila,61.0,0.0,3.0,0.0,58.0,396.0,121.0,219.0,56.0,6.0,
ARIZONA-Nonmetropolitan Counties,La Paz,66.0,0.0,0.0,0.0,66.0,429.0,82.0,317.0,30.0,1.0,
ARIZONA-Nonmetropolitan Counties,Navajo,65.0,1.0,8.0,4.0,52.0,738.0,393.0,224.0,121.0,5.0,
ARKANSAS-Metropolitan Counties,Cleveland,2.0,0.0,0.0,1.0,1.0,101.0,49.0,42.0,10.0,1.0,
ARKANSAS-Metropolitan Counties,Craighead,22.0,0.0,4.0,1.0,17.0,373.0,135.0,211.0,27.0,5.0,
ARKANSAS-Metropolitan Counties,Crittenden,81.0,2.0,8.0,7.0,64.0,465.0,178.0,256.0,31.0,11.0,
ARKANSAS-Metropolitan Counties,Faulkner,44.0,0.0,2.0,2.0,40.0,745.0,162.0,526.0,57.0,5.0,
ARKANSAS-Metropolitan Counties,Franklin,21.0,0.0,2.0,0.0,19.0,181.0,63.0,107.0,11.0,5.0,
ARKANSAS-Metropolitan Counties,Garland,96.0,3.0,14.0,7.0,72.0,2306.0,936.0,1196.0,174.0,3.0,
ARKANSAS-Metropolitan Counties,Grant,38.0,0.0,5.0,1.0,32.0,178.0,63.0,103.0,12.0,0.0,
ARKANSAS-Metropolitan Counties,Jefferson,69.0,3.0,7.0,9.0,50.0,489.0,202.0,225.0,62.0,5.0,
ARKANSAS-Metropolitan Counties,Lincoln,18.0,0.0,3.0,0.0,15.0,83.0,45.0,38.0,0.0,0.0,
ARKANSAS-Metropolitan Counties,Lonoke,122.0,5.0,12.0,4.0,101.0,616.0,209.0,339.0,68.0,5.0,
ARKANSAS-Metropolitan Counties,Madison,30.0,1.0,5.0,0.0,24.0,61.0,24.0,31.0,6.0,4.0,
ARKANSAS-Metropolitan Counties,Perry,14.0,0.0,1.0,0.0,13.0,64.0,41.0,21.0,2.0,3.0,
ARKANSAS-Metropolitan Counties,Poinsett,66.0,0.0,3.0,2.0,61.0,112.0,103.0,4.0,5.0,6.0,
ARKANSAS-Metropolitan Counties,Pulaski,402.0,4.0,17.0,36.0,345.0,2223.0,898.0,1056.0,269.0,11.0,
