State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,
ALABAMA - Metropolitan Counties2,Autauga,77.0,1.0,7.0,13.0,56.0,469.0,161.0,271.0,37.0,6.0,
ALABAMA - Metropolitan Counties2,Blount,71.0,3.0,9.0,3.0,56.0,964.0,333.0,551.0,80.0,3.0,
ALABAMA - Metropolitan Counties2,Calhoun,21.0,0.0,11.0,1.0,9.0,675.0,237.0,437.0,1.0,0.0,
ALABAMA - Metropolitan Counties2,Chilton,88.0,1.0,16.0,3.0,68.0,772.0,302.0,414.0,56.0,0.0,
ALABAMA - Metropolitan Counties2,Colbert,31.0,0.0,1.0,1.0,29.0,125.0,33.0,89.0,3.0,0.0,
ALABAMA - Metropolitan Counties2,Elmore,56.0,2.0,10.0,9.0,35.0,768.0,269.0,454.0,45.0,0.0,
ALABAMA - Metropolitan Counties2,Etowah,156.0,0.0,12.0,3.0,141.0,669.0,277.0,327.0,65.0,6.0,
ALABAMA - Metropolitan Counties2,Geneva,30.0,0.0,3.0,1.0,26.0,249.0,82.0,144.0,23.0,1.0,
ALABAMA - Metropolitan Counties2,Greene,50.0,1.0,2.0,2.0,45.0,144.0,62.0,68.0,14.0,1.0,
ALABAMA - Metropolitan Counties2,Henry,33.0,2.0,1.0,1.0,29.0,126.0,44.0,73.0,9.0,1.0,
ALABAMA - Metropolitan Counties2,Houston,83.0,1.0,9.0,7.0,66.0,606.0,193.0,355.0,58.0,1.0,
ALABAMA - Metropolitan Counties2,Jefferson,569.0,9.0,55.0,153.0,352.0,4125.0,2348.0,1678.0,99.0,20.0,
ALABAMA - Metropolitan Counties2,Lauderdale,10.0,0.0,1.0,0.0,9.0,143.0,50.0,85.0,8.0,5.0,
ALABAMA - Metropolitan Counties2,Lawrence,61.0,0.0,4.0,5.0,52.0,490.0,161.0,293.0,36.0,9.0,
ALABAMA - Metropolitan Counties2,Lee,0.0,0.0,0.0,0.0,0.0,124.0,19.0,105.0,0.0,7.0,
ALABAMA - Metropolitan Counties2,Limestone,26.0,0.0,1.0,2.0,23.0,200.0,56.0,123.0,21.0,0.0,
ALABAMA - Metropolitan Counties2,Lowndes,37.0,0.0,1.0,6.0,30.0,277.0,143.0,115.0,19.0,79.0,
ALABAMA - Metropolitan Counties2,Mobile,241.0,6.0,19.0,43.0,173.0,2517.0,844.0,1437.0,236.0,4.0,
ALABAMA - Metropolitan Counties2,Montgomery,80.0,3.0,1.0,10.0,66.0,613.0,248.0,307.0,58.0,4.0,
ALABAMA - Metropolitan Counties2,Morgan,38.0,0.0,9.0,3.0,26.0,524.0,269.0,236.0,19.0,0.0,
ALABAMA - Metropolitan Counties2,Russell,29.0,0.0,3.0,2.0,24.0,531.0,185.0,319.0,27.0,0.0,
ALABAMA - Metropolitan Counties2,Shelby,118.0,1.0,24.0,13.0,80.0,1309.0,409.0,810.0,90.0,3.0,
ALABAMA - Metropolitan Counties2,St. Clair,42.0,1.0,16.0,1.0,24.0,669.0,245.0,409.0,15.0,0.0,
ALABAMA - Metropolitan Counties2,Tuscaloosa,228.0,2.0,8.0,21.0,197.0,1525.0,427.0,970.0,128.0,5.0,
ALABAMA - Nonmetropolitan Counties2,Baldwin,91.0,0.0,10.0,13.0,68.0,982.0,374.0,556.0,52.0,7.0,
ALABAMA - Nonmetropolitan Counties2,Barbour,3.0,0.0,0.0,0.0,3.0,54.0,24.0,26.0,4.0,3.0,
ALABAMA - Nonmetropolitan Counties2,Bullock,12.0,0.0,2.0,2.0,8.0,70.0,66.0,3.0,1.0,8.0,
ALABAMA - Nonmetropolitan Counties2,Butler,43.0,1.0,5.0,2.0,35.0,277.0,90.0,177.0,10.0,4.0,
ALABAMA - Nonmetropolitan Counties2,Chambers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Cherokee,48.0,1.0,2.0,1.0,44.0,535.0,216.0,296.0,23.0,8.0,
ALABAMA - Nonmetropolitan Counties2,Choctaw,7.0,1.0,0.0,0.0,6.0,29.0,14.0,11.0,4.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Clay,12.0,0.0,0.0,0.0,12.0,52.0,13.0,34.0,5.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Coffee,29.0,0.0,1.0,3.0,25.0,239.0,101.0,121.0,17.0,5.0,
ALABAMA - Nonmetropolitan Counties2,Conecuh,43.0,0.0,3.0,5.0,35.0,190.0,60.0,117.0,13.0,1.0,
ALABAMA - Nonmetropolitan Counties2,Coosa,33.0,0.0,1.0,2.0,30.0,245.0,110.0,128.0,7.0,4.0,
ALABAMA - Nonmetropolitan Counties2,Crenshaw,57.0,2.0,0.0,2.0,53.0,198.0,92.0,94.0,12.0,1.0,
ALABAMA - Nonmetropolitan Counties2,Cullman,113.0,1.0,16.0,3.0,93.0,1235.0,383.0,800.0,52.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Dale,65.0,0.0,9.0,3.0,53.0,205.0,51.0,146.0,8.0,3.0,
ALABAMA - Nonmetropolitan Counties2,Dallas,73.0,0.0,6.0,11.0,56.0,614.0,207.0,381.0,26.0,3.0,
ALABAMA - Nonmetropolitan Counties2,De Kalb,179.0,4.0,21.0,2.0,152.0,908.0,320.0,515.0,73.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Escambia,42.0,0.0,3.0,4.0,35.0,396.0,126.0,228.0,42.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Fayette,6.0,0.0,0.0,0.0,6.0,90.0,34.0,50.0,6.0,2.0,
ALABAMA - Nonmetropolitan Counties2,Franklin,34.0,2.0,4.0,1.0,27.0,319.0,102.0,195.0,22.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Jackson,78.0,1.0,4.0,1.0,72.0,621.0,232.0,329.0,60.0,4.0,
ALABAMA - Nonmetropolitan Counties2,Lamar,2.0,0.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Macon,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Marengo,23.0,0.0,4.0,1.0,18.0,180.0,68.0,103.0,9.0,3.0,
ALABAMA - Nonmetropolitan Counties2,Marion,28.0,0.0,1.0,1.0,26.0,247.0,91.0,133.0,23.0,1.0,
ALABAMA - Nonmetropolitan Counties2,Marshall,55.0,0.0,9.0,1.0,45.0,817.0,312.0,461.0,44.0,3.0,
ALABAMA - Nonmetropolitan Counties2,Monroe,33.0,0.0,1.0,1.0,31.0,100.0,53.0,44.0,3.0,1.0,
ALABAMA - Nonmetropolitan Counties2,Pickens,4.0,0.0,1.0,0.0,3.0,17.0,6.0,10.0,1.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Pike,4.0,0.0,0.0,0.0,4.0,33.0,11.0,22.0,0.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Randolph,44.0,0.0,4.0,2.0,38.0,319.0,124.0,176.0,19.0,1.0,
ALABAMA - Nonmetropolitan Counties2,Sumter,12.0,0.0,1.0,2.0,9.0,22.0,12.0,7.0,3.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Talladega,56.0,1.0,4.0,4.0,47.0,957.0,335.0,545.0,77.0,5.0,
ALABAMA - Nonmetropolitan Counties2,Tallapoosa,17.0,1.0,2.0,1.0,13.0,233.0,109.0,112.0,12.0,0.0,
ALABAMA - Nonmetropolitan Counties2,Washington,26.0,1.0,0.0,0.0,25.0,177.0,44.0,114.0,19.0,2.0,
ALABAMA - Nonmetropolitan Counties2,Winston,13.0,0.0,0.0,0.0,13.0,185.0,76.0,100.0,9.0,0.0,
ARIZONA - Metropolitan Counties,Coconino,141.0,5.0,10.0,7.0,119.0,531.0,181.0,335.0,15.0,28.0,
ARIZONA - Metropolitan Counties,Maricopa,884.0,6.0,45.0,72.0,761.0,4955.0,1371.0,3143.0,441.0,102.0,
ARIZONA - Metropolitan Counties,Mohave,145.0,6.0,11.0,15.0,113.0,2144.0,762.0,1245.0,137.0,11.0,
ARIZONA - Metropolitan Counties,Pima,607.0,16.0,62.0,163.0,366.0,11711.0,2857.0,8007.0,847.0,96.0,
ARIZONA - Metropolitan Counties,Pinal,227.0,5.0,47.0,22.0,153.0,3789.0,710.0,2654.0,425.0,17.0,
ARIZONA - Metropolitan Counties,Yavapai,312.0,9.0,13.0,5.0,285.0,1320.0,465.0,764.0,91.0,12.0,
ARIZONA - Nonmetropolitan Counties,Apache,45.0,1.0,0.0,1.0,43.0,176.0,95.0,74.0,7.0,20.0,
ARIZONA - Nonmetropolitan Counties,Cochise,367.0,3.0,15.0,12.0,337.0,797.0,334.0,400.0,63.0,16.0,
ARIZONA - Nonmetropolitan Counties,Gila,34.0,1.0,1.0,3.0,29.0,347.0,55.0,261.0,31.0,3.0,
ARIZONA - Nonmetropolitan Counties,Graham3,,0.0,0.0,1.0,,227.0,62.0,152.0,13.0,10.0,
ARIZONA - Nonmetropolitan Counties,La Paz,41.0,0.0,2.0,0.0,39.0,390.0,113.0,253.0,24.0,0.0,
ARIZONA - Nonmetropolitan Counties,Navajo,59.0,2.0,1.0,2.0,54.0,610.0,383.0,181.0,46.0,7.0,
ARIZONA - Nonmetropolitan Counties,Santa Cruz,7.0,1.0,2.0,2.0,2.0,276.0,103.0,131.0,42.0,9.0,
ARKANSAS - Metropolitan Counties,Benton,158.0,1.0,21.0,1.0,135.0,459.0,227.0,216.0,16.0,2.0,
ARKANSAS - Metropolitan Counties,Cleveland,5.0,0.0,0.0,0.0,5.0,113.0,68.0,37.0,8.0,0.0,
ARKANSAS - Metropolitan Counties,Craighead,12.0,1.0,0.0,3.0,8.0,296.0,120.0,163.0,13.0,2.0,
ARKANSAS - Metropolitan Counties,Crawford,139.0,1.0,18.0,1.0,119.0,334.0,67.0,237.0,30.0,1.0,
ARKANSAS - Metropolitan Counties,Crittenden,181.0,1.0,7.0,15.0,158.0,454.0,130.0,286.0,38.0,7.0,
ARKANSAS - Metropolitan Counties,Faulkner,46.0,0.0,8.0,0.0,38.0,921.0,291.0,554.0,76.0,6.0,
ARKANSAS - Metropolitan Counties,Franklin,39.0,0.0,4.0,0.0,35.0,191.0,69.0,109.0,13.0,4.0,
ARKANSAS - Metropolitan Counties,Jefferson,69.0,2.0,5.0,7.0,55.0,531.0,238.0,200.0,93.0,5.0,
ARKANSAS - Metropolitan Counties,Lincoln,3.0,1.0,0.0,1.0,1.0,99.0,52.0,43.0,4.0,3.0,
ARKANSAS - Metropolitan Counties,Lonoke,116.0,3.0,9.0,3.0,101.0,787.0,308.0,403.0,76.0,7.0,
ARKANSAS - Metropolitan Counties,Madison,21.0,0.0,5.0,0.0,16.0,122.0,49.0,56.0,17.0,0.0,
ARKANSAS - Metropolitan Counties,Miller,14.0,0.0,4.0,1.0,9.0,279.0,84.0,158.0,37.0,3.0,
ARKANSAS - Metropolitan Counties,Poinsett,21.0,0.0,5.0,0.0,16.0,35.0,14.0,16.0,5.0,3.0,
ARKANSAS - Metropolitan Counties,Pulaski,409.0,6.0,25.0,31.0,347.0,2244.0,896.0,1144.0,204.0,13.0,
ARKANSAS - Metropolitan Counties,Sebastian,83.0,0.0,11.0,3.0,69.0,356.0,183.0,151.0,22.0,3.0,
ARKANSAS - Metropolitan Counties,Washington,148.0,2.0,12.0,4.0,130.0,547.0,199.0,305.0,43.0,7.0,
ARKANSAS - Nonmetropolitan Counties,Arkansas,5.0,0.0,0.0,0.0,5.0,98.0,32.0,57.0,9.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Ashley,22.0,1.0,1.0,3.0,17.0,218.0,88.0,116.0,14.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Baxter,30.0,2.0,3.0,0.0,25.0,653.0,114.0,502.0,37.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Boone,21.0,1.0,8.0,0.0,12.0,366.0,114.0,205.0,47.0,5.0,
ARKANSAS - Nonmetropolitan Counties,Carroll,29.0,0.0,0.0,0.0,29.0,208.0,53.0,145.0,10.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Chicot,0.0,0.0,0.0,0.0,0.0,39.0,14.0,25.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Clark,12.0,0.0,1.0,1.0,10.0,142.0,44.0,88.0,10.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Clay,8.0,0.0,2.0,0.0,6.0,76.0,26.0,48.0,2.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Cleburne,41.0,1.0,6.0,0.0,34.0,495.0,253.0,195.0,47.0,5.0,
ARKANSAS - Nonmetropolitan Counties,Columbia,41.0,0.0,0.0,2.0,39.0,212.0,55.0,139.0,18.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Conway,25.0,1.0,1.0,3.0,20.0,322.0,74.0,229.0,19.0,5.0,
ARKANSAS - Nonmetropolitan Counties,Cross,27.0,0.0,4.0,0.0,23.0,28.0,19.0,6.0,3.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Dallas,1.0,0.0,0.0,0.0,1.0,26.0,7.0,19.0,0.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Drew,30.0,0.0,6.0,1.0,23.0,122.0,38.0,69.0,15.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Fulton,16.0,0.0,0.0,0.0,16.0,153.0,67.0,79.0,7.0,6.0,
ARKANSAS - Nonmetropolitan Counties,Greene,21.0,0.0,2.0,0.0,19.0,266.0,96.0,154.0,16.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Hempstead,42.0,0.0,4.0,0.0,38.0,195.0,47.0,126.0,22.0,6.0,
ARKANSAS - Nonmetropolitan Counties,Howard,14.0,0.0,4.0,0.0,10.0,85.0,36.0,46.0,3.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Independence,136.0,0.0,10.0,12.0,114.0,1546.0,691.0,758.0,97.0,14.0,
ARKANSAS - Nonmetropolitan Counties,Izard,2.0,0.0,1.0,0.0,1.0,186.0,69.0,117.0,0.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Jackson,23.0,0.0,0.0,2.0,21.0,164.0,49.0,102.0,13.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Johnson,21.0,0.0,1.0,0.0,20.0,225.0,189.0,36.0,0.0,8.0,
ARKANSAS - Nonmetropolitan Counties,Lafayette,4.0,0.0,0.0,0.0,4.0,71.0,17.0,54.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Lawrence,8.0,0.0,1.0,0.0,7.0,129.0,38.0,91.0,0.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Lee,7.0,2.0,0.0,0.0,5.0,66.0,18.0,44.0,4.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Little River,6.0,0.0,0.0,0.0,6.0,72.0,22.0,47.0,3.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Logan,20.0,0.0,9.0,2.0,9.0,311.0,120.0,164.0,27.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Marion,35.0,0.0,2.0,1.0,32.0,219.0,85.0,132.0,2.0,6.0,
ARKANSAS - Nonmetropolitan Counties,Mississippi,35.0,0.0,6.0,2.0,27.0,343.0,81.0,226.0,36.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Monroe,1.0,0.0,0.0,0.0,1.0,51.0,7.0,44.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Montgomery,4.0,0.0,0.0,0.0,4.0,19.0,7.0,12.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Nevada,6.0,0.0,0.0,0.0,6.0,45.0,19.0,24.0,2.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Newton,10.0,0.0,2.0,0.0,8.0,79.0,25.0,51.0,3.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Ouachita,2.0,0.0,0.0,0.0,2.0,22.0,13.0,9.0,0.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Pike,7.0,1.0,3.0,0.0,3.0,30.0,13.0,13.0,4.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Polk,39.0,0.0,3.0,0.0,36.0,204.0,87.0,103.0,14.0,14.0,
ARKANSAS - Nonmetropolitan Counties,Pope,60.0,0.0,10.0,2.0,48.0,460.0,165.0,256.0,39.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Prairie,0.0,0.0,0.0,0.0,0.0,50.0,10.0,38.0,2.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Scott,8.0,0.0,4.0,0.0,4.0,66.0,20.0,43.0,3.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Searcy,10.0,0.0,0.0,0.0,10.0,28.0,16.0,10.0,2.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Sevier,19.0,1.0,0.0,2.0,16.0,168.0,45.0,101.0,22.0,2.0,
ARKANSAS - Nonmetropolitan Counties,St. Francis,23.0,1.0,3.0,5.0,14.0,379.0,105.0,274.0,0.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Stone,18.0,0.0,4.0,0.0,14.0,119.0,56.0,61.0,2.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Union,34.0,0.0,0.0,11.0,23.0,436.0,127.0,268.0,41.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Van Buren,46.0,0.0,2.0,0.0,44.0,219.0,51.0,140.0,28.0,5.0,
ARKANSAS - Nonmetropolitan Counties,White,56.0,3.0,10.0,4.0,39.0,907.0,373.0,438.0,96.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Yell,18.0,0.0,4.0,2.0,12.0,164.0,70.0,82.0,12.0,2.0,
CALIFORNIA - Metropolitan Counties,Alameda,725.0,3.0,26.0,218.0,478.0,2192.0,650.0,991.0,551.0,19.0,
CALIFORNIA - Metropolitan Counties,Butte,106.0,2.0,13.0,23.0,68.0,1310.0,560.0,744.0,6.0,3.0,
CALIFORNIA - Metropolitan Counties,Contra Costa,456.0,13.0,30.0,109.0,304.0,2475.0,1033.0,1423.0,19.0,18.0,
CALIFORNIA - Metropolitan Counties,El Dorado,192.0,2.0,21.0,21.0,148.0,2273.0,1020.0,1241.0,12.0,10.0,
CALIFORNIA - Metropolitan Counties,Fresno,740.0,6.0,23.0,125.0,586.0,4781.0,1618.0,2331.0,832.0,,
CALIFORNIA - Metropolitan Counties,Imperial,110.0,0.0,4.0,6.0,100.0,676.0,255.0,399.0,22.0,7.0,
CALIFORNIA - Metropolitan Counties,Kern,1822.0,22.0,108.0,358.0,1334.0,10198.0,3301.0,5378.0,1519.0,282.0,
