State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,
KANSAS-Metropolitan Counties,Riley County Police Department,225.0,3.0,42.0,30.0,150.0,1765.0,336.0,1358.0,71.0,13.0,,
KANSAS-Metropolitan Counties,Shawnee,131.0,0.0,11.0,7.0,113.0,1563.0,382.0,1103.0,78.0,12.0,,
KANSAS-Metropolitan Counties,Sumner,16.0,0.0,1.0,0.0,15.0,144.0,50.0,84.0,10.0,0.0,,
KANSAS-Metropolitan Counties,Wabaunsee,13.0,0.0,1.0,0.0,12.0,93.0,35.0,49.0,9.0,0.0,,
KANSAS-Metropolitan Counties,Wyandotte,6.0,0.0,0.0,1.0,5.0,6.0,0.0,4.0,2.0,0.0,,
KANSAS-Nonmetropolitan Counties,Allen,19.0,0.0,3.0,0.0,16.0,107.0,23.0,72.0,12.0,3.0,,
KANSAS-Nonmetropolitan Counties,Anderson,4.0,0.0,0.0,1.0,3.0,48.0,16.0,30.0,2.0,1.0,,
KANSAS-Nonmetropolitan Counties,Atchison,5.0,0.0,0.0,0.0,5.0,54.0,20.0,29.0,5.0,5.0,,
KANSAS-Nonmetropolitan Counties,Barber,4.0,0.0,2.0,0.0,2.0,13.0,0.0,10.0,3.0,0.0,,
KANSAS-Nonmetropolitan Counties,Barton2,4.0,0.0,2.0,0.0,2.0,136.0,49.0,80.0,7.0,0.0,,
KANSAS-Nonmetropolitan Counties,Bourbon,2.0,0.0,1.0,0.0,1.0,55.0,20.0,30.0,5.0,1.0,,
KANSAS-Nonmetropolitan Counties,Brown,24.0,0.0,1.0,0.0,23.0,53.0,17.0,32.0,4.0,0.0,,
KANSAS-Nonmetropolitan Counties,Chautauqua,11.0,0.0,1.0,0.0,10.0,45.0,16.0,28.0,1.0,0.0,,
KANSAS-Nonmetropolitan Counties,Cherokee,18.0,0.0,2.0,2.0,14.0,195.0,51.0,113.0,31.0,5.0,,
KANSAS-Nonmetropolitan Counties,Cheyenne,1.0,0.0,0.0,0.0,1.0,17.0,2.0,14.0,1.0,0.0,,
KANSAS-Nonmetropolitan Counties,Clark,1.0,0.0,0.0,0.0,1.0,23.0,10.0,12.0,1.0,0.0,,
KANSAS-Nonmetropolitan Counties,Clay,8.0,0.0,1.0,0.0,7.0,54.0,18.0,27.0,9.0,0.0,,
KANSAS-Nonmetropolitan Counties,Cloud,2.0,0.0,0.0,0.0,2.0,29.0,13.0,16.0,0.0,0.0,,
KANSAS-Nonmetropolitan Counties,Coffey,12.0,0.0,4.0,0.0,8.0,47.0,11.0,35.0,1.0,0.0,,
KANSAS-Nonmetropolitan Counties,Cowley,35.0,0.0,1.0,0.0,34.0,246.0,98.0,137.0,11.0,2.0,,
KANSAS-Nonmetropolitan Counties,Crawford,41.0,0.0,1.0,1.0,39.0,296.0,90.0,189.0,17.0,12.0,,
KANSAS-Nonmetropolitan Counties,Dickinson,17.0,0.0,5.0,0.0,12.0,132.0,30.0,96.0,6.0,3.0,,
KANSAS-Nonmetropolitan Counties,Edwards,2.0,0.0,0.0,0.0,2.0,23.0,9.0,14.0,0.0,0.0,,
KANSAS-Nonmetropolitan Counties,Elk,2.0,0.0,1.0,0.0,1.0,28.0,7.0,21.0,0.0,0.0,,
KANSAS-Nonmetropolitan Counties,Ellis,10.0,0.0,2.0,0.0,8.0,75.0,18.0,53.0,4.0,1.0,,
KANSAS-Nonmetropolitan Counties,Ellsworth,7.0,1.0,0.0,0.0,6.0,58.0,20.0,35.0,3.0,0.0,,
KANSAS-Nonmetropolitan Counties,Finney,46.0,0.0,8.0,3.0,35.0,258.0,65.0,178.0,15.0,2.0,,
KANSAS-Nonmetropolitan Counties,Ford,16.0,0.0,0.0,1.0,15.0,55.0,17.0,29.0,9.0,0.0,,
KANSAS-Nonmetropolitan Counties,Graham,4.0,0.0,0.0,0.0,4.0,30.0,11.0,17.0,2.0,1.0,,
KANSAS-Nonmetropolitan Counties,Grant,8.0,2.0,0.0,0.0,6.0,23.0,9.0,14.0,0.0,0.0,,
KANSAS-Nonmetropolitan Counties,Gray,2.0,0.0,1.0,0.0,1.0,24.0,4.0,18.0,2.0,1.0,,
KANSAS-Nonmetropolitan Counties,Greenwood,25.0,0.0,1.0,2.0,22.0,212.0,58.0,149.0,5.0,1.0,,
KANSAS-Nonmetropolitan Counties,Harper,1.0,0.0,0.0,0.0,1.0,18.0,7.0,9.0,2.0,0.0,,
KANSAS-Nonmetropolitan Counties,Hodgeman,5.0,0.0,0.0,0.0,5.0,26.0,9.0,16.0,1.0,0.0,,
KANSAS-Nonmetropolitan Counties,Kearny,13.0,0.0,1.0,0.0,12.0,91.0,16.0,72.0,3.0,1.0,,
KANSAS-Nonmetropolitan Counties,Kingman,3.0,0.0,1.0,0.0,2.0,55.0,21.0,28.0,6.0,2.0,,
KANSAS-Nonmetropolitan Counties,Kiowa,5.0,0.0,2.0,0.0,3.0,36.0,12.0,21.0,3.0,0.0,,
KANSAS-Nonmetropolitan Counties,Labette,15.0,0.0,1.0,0.0,14.0,118.0,44.0,68.0,6.0,8.0,,
KANSAS-Nonmetropolitan Counties,Lane,3.0,0.0,1.0,0.0,2.0,22.0,8.0,12.0,2.0,0.0,,
KANSAS-Nonmetropolitan Counties,Lincoln,5.0,0.0,0.0,0.0,5.0,45.0,12.0,31.0,2.0,1.0,,
KANSAS-Nonmetropolitan Counties,Lyon,15.0,0.0,3.0,0.0,12.0,104.0,16.0,81.0,7.0,5.0,,
KANSAS-Nonmetropolitan Counties,McPherson,9.0,0.0,2.0,1.0,6.0,99.0,33.0,63.0,3.0,2.0,,
KANSAS-Nonmetropolitan Counties,Mitchell,4.0,0.0,1.0,0.0,3.0,60.0,28.0,27.0,5.0,2.0,,
KANSAS-Nonmetropolitan Counties,Morris,2.0,0.0,1.0,0.0,1.0,39.0,16.0,23.0,0.0,0.0,,
KANSAS-Nonmetropolitan Counties,Morton,10.0,0.0,0.0,0.0,10.0,39.0,13.0,23.0,3.0,0.0,,
KANSAS-Nonmetropolitan Counties,Nemaha,9.0,0.0,2.0,0.0,7.0,52.0,13.0,38.0,1.0,0.0,,
KANSAS-Nonmetropolitan Counties,Neosho,13.0,0.0,1.0,1.0,11.0,99.0,40.0,50.0,9.0,8.0,,
KANSAS-Nonmetropolitan Counties,Osborne,4.0,1.0,0.0,0.0,3.0,56.0,25.0,29.0,2.0,1.0,,
KANSAS-Nonmetropolitan Counties,Ottawa,9.0,0.0,1.0,0.0,8.0,72.0,29.0,40.0,3.0,1.0,,
KANSAS-Nonmetropolitan Counties,Pawnee,15.0,0.0,2.0,0.0,13.0,36.0,14.0,21.0,1.0,1.0,,
KANSAS-Nonmetropolitan Counties,Phillips,6.0,0.0,0.0,0.0,6.0,13.0,2.0,9.0,2.0,0.0,,
KANSAS-Nonmetropolitan Counties,Pratt,5.0,0.0,1.0,0.0,4.0,50.0,16.0,30.0,4.0,3.0,,
KANSAS-Nonmetropolitan Counties,Rawlins,3.0,0.0,1.0,0.0,2.0,17.0,2.0,14.0,1.0,0.0,,
KANSAS-Nonmetropolitan Counties,Reno,39.0,0.0,4.0,2.0,33.0,297.0,111.0,174.0,12.0,13.0,,
KANSAS-Nonmetropolitan Counties,Republic,2.0,0.0,0.0,0.0,2.0,55.0,18.0,33.0,4.0,1.0,,
KANSAS-Nonmetropolitan Counties,Rice,9.0,0.0,1.0,0.0,8.0,46.0,16.0,27.0,3.0,1.0,,
KANSAS-Nonmetropolitan Counties,Rooks,2.0,0.0,0.0,0.0,2.0,7.0,3.0,4.0,0.0,0.0,,
KANSAS-Nonmetropolitan Counties,Rush,2.0,0.0,0.0,0.0,2.0,25.0,13.0,8.0,4.0,0.0,,
KANSAS-Nonmetropolitan Counties,Russell,6.0,0.0,0.0,0.0,6.0,38.0,15.0,21.0,2.0,1.0,,
KANSAS-Nonmetropolitan Counties,Saline,22.0,1.0,6.0,0.0,15.0,156.0,51.0,97.0,8.0,7.0,,
KANSAS-Nonmetropolitan Counties,Scott,0.0,0.0,0.0,0.0,0.0,23.0,2.0,17.0,4.0,2.0,,
KANSAS-Nonmetropolitan Counties,Seward,9.0,0.0,1.0,0.0,8.0,49.0,9.0,35.0,5.0,1.0,,
KANSAS-Nonmetropolitan Counties,Sherman,9.0,0.0,0.0,0.0,9.0,23.0,6.0,16.0,1.0,0.0,,
KANSAS-Nonmetropolitan Counties,Smith,1.0,0.0,0.0,0.0,1.0,24.0,14.0,8.0,2.0,0.0,,
KANSAS-Nonmetropolitan Counties,Stafford,4.0,0.0,0.0,0.0,4.0,44.0,11.0,29.0,4.0,0.0,,
KANSAS-Nonmetropolitan Counties,Stanton,1.0,0.0,0.0,1.0,0.0,24.0,4.0,18.0,2.0,0.0,,
KANSAS-Nonmetropolitan Counties,Thomas,11.0,0.0,4.0,2.0,5.0,32.0,2.0,28.0,2.0,0.0,,
KANSAS-Nonmetropolitan Counties,Washington,6.0,0.0,0.0,0.0,6.0,11.0,4.0,6.0,1.0,0.0,,
KANSAS-Nonmetropolitan Counties,Wichita,10.0,0.0,0.0,0.0,10.0,20.0,2.0,16.0,2.0,0.0,,
KANSAS-Nonmetropolitan Counties,Wilson,6.0,0.0,1.0,0.0,5.0,67.0,39.0,26.0,2.0,3.0,,
KANSAS-Nonmetropolitan Counties,Woodson,10.0,0.0,5.0,0.0,5.0,39.0,9.0,29.0,1.0,1.0,,
KENTUCKY-Metropolitan Counties,Bourbon,2.0,0.0,0.0,0.0,2.0,80.0,25.0,48.0,7.0,,,
KENTUCKY-Metropolitan Counties,Boyd,32.0,0.0,0.0,15.0,17.0,316.0,83.0,207.0,26.0,,,
KENTUCKY-Metropolitan Counties,Bracken,5.0,0.0,1.0,1.0,3.0,71.0,29.0,38.0,4.0,,,
KENTUCKY-Metropolitan Counties,Bullitt,35.0,1.0,11.0,4.0,19.0,560.0,243.0,284.0,33.0,,,
KENTUCKY-Metropolitan Counties,Christian,24.0,1.0,4.0,7.0,12.0,422.0,173.0,215.0,34.0,,,
KENTUCKY-Metropolitan Counties,Clark,15.0,1.0,4.0,5.0,5.0,322.0,126.0,179.0,17.0,,,
KENTUCKY-Metropolitan Counties,Daviess,31.0,0.0,4.0,2.0,25.0,578.0,147.0,404.0,27.0,3.0,,
KENTUCKY-Metropolitan Counties,Edmonson,3.0,0.0,0.0,0.0,3.0,48.0,15.0,30.0,3.0,,,
KENTUCKY-Metropolitan Counties,Gallatin,1.0,0.0,1.0,0.0,0.0,33.0,10.0,22.0,1.0,,,
KENTUCKY-Metropolitan Counties,Grant,1.0,0.0,1.0,0.0,0.0,92.0,34.0,54.0,4.0,,,
KENTUCKY-Metropolitan Counties,Greenup,16.0,0.0,1.0,5.0,10.0,64.0,38.0,19.0,7.0,,,
KENTUCKY-Metropolitan Counties,Hancock,1.0,0.0,0.0,0.0,1.0,15.0,7.0,7.0,1.0,,,
KENTUCKY-Metropolitan Counties,Hardin,5.0,0.0,3.0,0.0,2.0,127.0,55.0,65.0,7.0,,,
KENTUCKY-Metropolitan Counties,Jefferson,0.0,0.0,0.0,0.0,0.0,12.0,2.0,9.0,1.0,,,
KENTUCKY-Metropolitan Counties,Jessamine,10.0,0.0,2.0,6.0,2.0,202.0,69.0,107.0,26.0,,,
KENTUCKY-Metropolitan Counties,Kenton,1.0,0.0,0.0,0.0,1.0,6.0,1.0,5.0,0.0,,,
KENTUCKY-Metropolitan Counties,Larue,12.0,0.0,3.0,0.0,9.0,51.0,17.0,33.0,1.0,,,
KENTUCKY-Metropolitan Counties,McLean,4.0,0.0,0.0,0.0,4.0,16.0,5.0,8.0,3.0,,,
KENTUCKY-Metropolitan Counties,Meade,6.0,0.0,1.0,2.0,3.0,183.0,79.0,82.0,22.0,,,
KENTUCKY-Metropolitan Counties,Nelson,21.0,0.0,3.0,3.0,15.0,277.0,95.0,169.0,13.0,,,
KENTUCKY-Metropolitan Counties,Oldham,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
KENTUCKY-Metropolitan Counties,Oldham County Police Department,26.0,0.0,12.0,8.0,6.0,472.0,117.0,339.0,16.0,,,
KENTUCKY-Metropolitan Counties,Pendleton,1.0,0.0,0.0,0.0,1.0,87.0,20.0,56.0,11.0,,,
KENTUCKY-Metropolitan Counties,Scott,17.0,0.0,2.0,3.0,12.0,411.0,134.0,251.0,26.0,,,
KENTUCKY-Metropolitan Counties,Shelby,33.0,0.0,4.0,7.0,22.0,399.0,101.0,276.0,22.0,,,
KENTUCKY-Metropolitan Counties,Spencer,3.0,0.0,1.0,1.0,1.0,41.0,24.0,12.0,5.0,,,
KENTUCKY-Metropolitan Counties,Trigg,2.0,0.0,0.0,0.0,2.0,92.0,44.0,37.0,11.0,,,
KENTUCKY-Metropolitan Counties,Trimble,0.0,0.0,0.0,0.0,0.0,16.0,1.0,9.0,6.0,,,
KENTUCKY-Metropolitan Counties,Warren,14.0,0.0,1.0,3.0,10.0,486.0,138.0,319.0,29.0,,,
KENTUCKY-Nonmetropolitan Counties,Adair,1.0,0.0,0.0,0.0,1.0,12.0,6.0,4.0,2.0,,,
KENTUCKY-Nonmetropolitan Counties,Allen,11.0,1.0,1.0,1.0,8.0,91.0,33.0,49.0,9.0,,,
KENTUCKY-Nonmetropolitan Counties,Anderson,5.0,0.0,0.0,2.0,3.0,57.0,16.0,37.0,4.0,,,
KENTUCKY-Nonmetropolitan Counties,Ballard,8.0,0.0,3.0,0.0,5.0,104.0,34.0,67.0,3.0,,,
KENTUCKY-Nonmetropolitan Counties,Barren,11.0,1.0,5.0,2.0,3.0,232.0,90.0,126.0,16.0,,,
KENTUCKY-Nonmetropolitan Counties,Bell,5.0,0.0,0.0,1.0,4.0,58.0,15.0,38.0,5.0,,,
KENTUCKY-Nonmetropolitan Counties,Boyle,5.0,0.0,1.0,1.0,3.0,127.0,38.0,75.0,14.0,,,
KENTUCKY-Nonmetropolitan Counties,Breckinridge,2.0,0.0,0.0,0.0,2.0,35.0,13.0,16.0,6.0,,,
KENTUCKY-Nonmetropolitan Counties,Butler,2.0,0.0,0.0,0.0,2.0,40.0,18.0,16.0,6.0,,,
KENTUCKY-Nonmetropolitan Counties,Caldwell,5.0,0.0,0.0,0.0,5.0,58.0,30.0,23.0,5.0,,,
KENTUCKY-Nonmetropolitan Counties,Calloway,14.0,1.0,3.0,1.0,9.0,448.0,163.0,250.0,35.0,,,
KENTUCKY-Nonmetropolitan Counties,Carroll,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,,,
KENTUCKY-Nonmetropolitan Counties,Carter,2.0,0.0,0.0,1.0,1.0,175.0,69.0,91.0,15.0,,,
KENTUCKY-Nonmetropolitan Counties,Casey,4.0,0.0,0.0,0.0,4.0,116.0,40.0,67.0,9.0,,,
KENTUCKY-Nonmetropolitan Counties,Clay,6.0,0.0,1.0,0.0,5.0,116.0,42.0,49.0,25.0,,,
KENTUCKY-Nonmetropolitan Counties,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KENTUCKY-Nonmetropolitan Counties,Crittenden,0.0,0.0,0.0,0.0,0.0,17.0,4.0,12.0,1.0,,,
KENTUCKY-Nonmetropolitan Counties,Cumberland,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,,,
KENTUCKY-Nonmetropolitan Counties,Estill,2.0,0.0,0.0,2.0,0.0,242.0,69.0,154.0,19.0,,,
KENTUCKY-Nonmetropolitan Counties,Fleming,9.0,0.0,2.0,0.0,7.0,46.0,15.0,18.0,13.0,,,
KENTUCKY-Nonmetropolitan Counties,Floyd,1.0,0.0,0.0,0.0,1.0,151.0,39.0,96.0,16.0,,,
KENTUCKY-Nonmetropolitan Counties,Franklin,20.0,0.0,3.0,11.0,6.0,110.0,57.0,45.0,8.0,,,
KENTUCKY-Nonmetropolitan Counties,Fulton,1.0,0.0,1.0,0.0,0.0,54.0,15.0,33.0,6.0,,,
KENTUCKY-Nonmetropolitan Counties,Garrard,0.0,0.0,0.0,0.0,0.0,133.0,43.0,86.0,4.0,,,
KENTUCKY-Nonmetropolitan Counties,Graves,13.0,2.0,2.0,1.0,8.0,143.0,63.0,71.0,9.0,,,
KENTUCKY-Nonmetropolitan Counties,Grayson,11.0,0.0,3.0,0.0,8.0,159.0,63.0,85.0,11.0,,,
KENTUCKY-Nonmetropolitan Counties,Harlan,14.0,0.0,1.0,0.0,13.0,57.0,23.0,34.0,0.0,,,
KENTUCKY-Nonmetropolitan Counties,Harrison,8.0,0.0,0.0,3.0,5.0,210.0,84.0,116.0,10.0,,,
KENTUCKY-Nonmetropolitan Counties,Hart,2.0,0.0,1.0,0.0,1.0,25.0,18.0,6.0,1.0,,,
KENTUCKY-Nonmetropolitan Counties,Hopkins,10.0,0.0,1.0,0.0,9.0,247.0,84.0,140.0,23.0,,,
KENTUCKY-Nonmetropolitan Counties,Jackson,3.0,0.0,1.0,0.0,2.0,65.0,21.0,38.0,6.0,,,
KENTUCKY-Nonmetropolitan Counties,Johnson,1.0,0.0,0.0,0.0,1.0,40.0,5.0,29.0,6.0,,,
KENTUCKY-Nonmetropolitan Counties,Knott,0.0,0.0,0.0,0.0,0.0,77.0,13.0,57.0,7.0,,,
KENTUCKY-Nonmetropolitan Counties,Knox,12.0,0.0,3.0,0.0,9.0,324.0,112.0,181.0,31.0,,,
KENTUCKY-Nonmetropolitan Counties,Laurel,19.0,0.0,3.0,3.0,13.0,430.0,131.0,240.0,59.0,,,
KENTUCKY-Nonmetropolitan Counties,Lawrence,3.0,0.0,0.0,0.0,3.0,21.0,11.0,10.0,0.0,,,
KENTUCKY-Nonmetropolitan Counties,Letcher,2.0,0.0,0.0,0.0,2.0,100.0,38.0,57.0,5.0,,,
KENTUCKY-Nonmetropolitan Counties,Lewis,10.0,0.0,2.0,5.0,3.0,67.0,30.0,31.0,6.0,,,
KENTUCKY-Nonmetropolitan Counties,Lincoln,4.0,0.0,0.0,2.0,2.0,114.0,58.0,41.0,15.0,,,
KENTUCKY-Nonmetropolitan Counties,Livingston,5.0,0.0,0.0,1.0,4.0,117.0,53.0,58.0,6.0,,,
KENTUCKY-Nonmetropolitan Counties,Logan,20.0,0.0,2.0,9.0,9.0,212.0,89.0,111.0,12.0,,,
KENTUCKY-Nonmetropolitan Counties,Lyon,3.0,0.0,0.0,0.0,3.0,34.0,12.0,19.0,3.0,,,
KENTUCKY-Nonmetropolitan Counties,Madison,9.0,1.0,0.0,0.0,8.0,342.0,124.0,199.0,19.0,,,
KENTUCKY-Nonmetropolitan Counties,Magoffin,2.0,0.0,0.0,0.0,2.0,26.0,8.0,13.0,5.0,,,
KENTUCKY-Nonmetropolitan Counties,Marion,0.0,0.0,0.0,0.0,0.0,114.0,31.0,76.0,7.0,,,
KENTUCKY-Nonmetropolitan Counties,Martin,2.0,0.0,1.0,0.0,1.0,91.0,33.0,45.0,13.0,,,
KENTUCKY-Nonmetropolitan Counties,Mason,14.0,0.0,1.0,5.0,8.0,189.0,75.0,111.0,3.0,,,
KENTUCKY-Nonmetropolitan Counties,McCracken,44.0,0.0,14.0,10.0,20.0,601.0,188.0,360.0,53.0,,,
KENTUCKY-Nonmetropolitan Counties,McCreary,6.0,0.0,0.0,1.0,5.0,200.0,71.0,108.0,21.0,,,
KENTUCKY-Nonmetropolitan Counties,Mercer,0.0,0.0,0.0,0.0,0.0,53.0,22.0,24.0,7.0,,,
KENTUCKY-Nonmetropolitan Counties,Metcalfe,3.0,0.0,0.0,0.0,3.0,48.0,15.0,25.0,8.0,,,
KENTUCKY-Nonmetropolitan Counties,Montgomery,10.0,0.0,0.0,2.0,8.0,456.0,164.0,269.0,23.0,,,
KENTUCKY-Nonmetropolitan Counties,Muhlenberg,1.0,0.0,0.0,0.0,1.0,38.0,20.0,13.0,5.0,,,
KENTUCKY-Nonmetropolitan Counties,Nicholas,0.0,0.0,0.0,0.0,0.0,11.0,4.0,6.0,1.0,,,
KENTUCKY-Nonmetropolitan Counties,Ohio,13.0,1.0,2.0,0.0,10.0,125.0,52.0,66.0,7.0,,,
KENTUCKY-Nonmetropolitan Counties,Owen,2.0,0.0,0.0,0.0,2.0,54.0,28.0,23.0,3.0,,,
KENTUCKY-Nonmetropolitan Counties,Owsley,0.0,0.0,0.0,0.0,0.0,21.0,12.0,8.0,1.0,,,
KENTUCKY-Nonmetropolitan Counties,Perry,2.0,0.0,0.0,0.0,2.0,26.0,10.0,12.0,4.0,,,
KENTUCKY-Nonmetropolitan Counties,Pike,11.0,0.0,0.0,1.0,10.0,50.0,11.0,35.0,4.0,,,
KENTUCKY-Nonmetropolitan Counties,Pulaski,44.0,1.0,5.0,6.0,32.0,1047.0,364.0,654.0,29.0,,,
KENTUCKY-Nonmetropolitan Counties,Rockcastle,7.0,0.0,1.0,2.0,4.0,47.0,23.0,12.0,12.0,,,
KENTUCKY-Nonmetropolitan Counties,Rowan,3.0,0.0,0.0,1.0,2.0,34.0,7.0,27.0,0.0,,,
KENTUCKY-Nonmetropolitan Counties,Russell,5.0,0.0,0.0,0.0,5.0,64.0,16.0,43.0,5.0,,,
KENTUCKY-Nonmetropolitan Counties,Simpson,11.0,0.0,0.0,9.0,2.0,144.0,46.0,84.0,14.0,,,
KENTUCKY-Nonmetropolitan Counties,Taylor,14.0,1.0,5.0,1.0,7.0,153.0,57.0,87.0,9.0,,,
KENTUCKY-Nonmetropolitan Counties,Todd,1.0,0.0,0.0,0.0,1.0,22.0,5.0,14.0,3.0,,,
KENTUCKY-Nonmetropolitan Counties,Union,2.0,0.0,0.0,0.0,2.0,59.0,11.0,48.0,0.0,,,
KENTUCKY-Nonmetropolitan Counties,Washington,2.0,0.0,0.0,0.0,2.0,49.0,25.0,20.0,4.0,,,
KENTUCKY-Nonmetropolitan Counties,Wayne,6.0,0.0,2.0,2.0,2.0,80.0,53.0,23.0,4.0,,,
KENTUCKY-Nonmetropolitan Counties,Whitley,2.0,0.0,0.0,0.0,2.0,108.0,47.0,44.0,17.0,,,
LOUISIANA-Metropolitan Counties,Ascension,370.0,3.0,17.0,33.0,317.0,2660.0,550.0,1928.0,182.0,14.0,,
LOUISIANA-Metropolitan Counties,Bossier,277.0,3.0,2.0,2.0,270.0,495.0,68.0,388.0,39.0,1.0,,
LOUISIANA-Metropolitan Counties,Caddo,158.0,0.0,13.0,14.0,131.0,959.0,223.0,635.0,101.0,12.0,,
LOUISIANA-Metropolitan Counties,Cameron,49.0,1.0,1.0,0.0,47.0,163.0,28.0,113.0,22.0,0.0,,
LOUISIANA-Metropolitan Counties,East Baton Rouge,766.0,18.0,26.0,232.0,490.0,8066.0,2238.0,5390.0,438.0,37.0,,
LOUISIANA-Metropolitan Counties,Grant,17.0,0.0,2.0,0.0,15.0,272.0,105.0,139.0,28.0,2.0,,
LOUISIANA-Metropolitan Counties,Jefferson,2243.0,36.0,70.0,593.0,1544.0,15047.0,3675.0,9832.0,1540.0,136.0,,
LOUISIANA-Metropolitan Counties,Lafayette,363.0,1.0,21.0,62.0,279.0,1465.0,382.0,884.0,199.0,14.0,,
LOUISIANA-Metropolitan Counties,Lafourche,166.0,4.0,8.0,15.0,139.0,1400.0,146.0,1168.0,86.0,0.0,,
LOUISIANA-Metropolitan Counties,Livingston,175.0,5.0,14.0,15.0,141.0,2547.0,785.0,1524.0,238.0,0.0,,
LOUISIANA-Metropolitan Counties,Ouachita,178.0,0.0,4.0,33.0,141.0,3008.0,944.0,1906.0,158.0,6.0,,
LOUISIANA-Metropolitan Counties,Plaquemines,54.0,0.0,1.0,1.0,52.0,388.0,44.0,325.0,19.0,3.0,,
LOUISIANA-Metropolitan Counties,Pointe Coupee4,56.0,3.0,2.0,2.0,49.0,,84.0,203.0,,4.0,,
LOUISIANA-Metropolitan Counties,Rapides,324.0,5.0,33.0,6.0,280.0,1528.0,346.0,993.0,189.0,3.0,,
LOUISIANA-Metropolitan Counties,St. Charles,172.0,4.0,14.0,31.0,123.0,1359.0,434.0,822.0,103.0,15.0,,
LOUISIANA-Metropolitan Counties,St. John the Baptist,161.0,11.0,6.0,85.0,59.0,1653.0,382.0,1108.0,163.0,,,
LOUISIANA-Metropolitan Counties,St. Martin,93.0,1.0,13.0,16.0,63.0,274.0,27.0,247.0,0.0,,,
LOUISIANA-Metropolitan Counties,St. Tammany,401.0,4.0,42.0,23.0,332.0,2914.0,775.0,1916.0,223.0,24.0,,
LOUISIANA-Metropolitan Counties,Terrebonne,359.0,5.0,30.0,59.0,265.0,2957.0,501.0,2202.0,254.0,14.0,,
LOUISIANA-Metropolitan Counties,Union,25.0,0.0,0.0,0.0,25.0,45.0,17.0,28.0,0.0,5.0,,
LOUISIANA-Metropolitan Counties,West Baton Rouge,69.0,1.0,7.0,11.0,50.0,564.0,47.0,477.0,40.0,1.0,,
LOUISIANA-Metropolitan Counties,West Feliciana,52.0,0.0,4.0,2.0,46.0,125.0,29.0,80.0,16.0,1.0,,
LOUISIANA-Nonmetropolitan Counties,Acadia,108.0,0.0,4.0,1.0,103.0,609.0,110.0,437.0,62.0,0.0,,
LOUISIANA-Nonmetropolitan Counties,Assumption,151.0,0.0,4.0,1.0,146.0,375.0,72.0,271.0,32.0,0.0,,
LOUISIANA-Nonmetropolitan Counties,Beauregard,61.0,1.0,5.0,2.0,53.0,336.0,125.0,177.0,34.0,3.0,,
LOUISIANA-Nonmetropolitan Counties,Caldwell,62.0,1.0,0.0,1.0,60.0,351.0,116.0,210.0,25.0,2.0,,
LOUISIANA-Nonmetropolitan Counties,Concordia,78.0,3.0,11.0,5.0,59.0,265.0,106.0,146.0,13.0,0.0,,
LOUISIANA-Nonmetropolitan Counties,East Carroll,17.0,0.0,1.0,2.0,14.0,50.0,16.0,30.0,4.0,0.0,,
LOUISIANA-Nonmetropolitan Counties,Evangeline,39.0,0.0,3.0,1.0,35.0,419.0,100.0,299.0,20.0,1.0,,
LOUISIANA-Nonmetropolitan Counties,Franklin,11.0,0.0,0.0,3.0,8.0,159.0,58.0,93.0,8.0,0.0,,
LOUISIANA-Nonmetropolitan Counties,Jackson,7.0,2.0,0.0,0.0,5.0,146.0,40.0,91.0,15.0,1.0,,
LOUISIANA-Nonmetropolitan Counties,Jefferson Davis,68.0,2.0,7.0,3.0,56.0,378.0,52.0,297.0,29.0,0.0,,
LOUISIANA-Nonmetropolitan Counties,Lincoln,31.0,0.0,3.0,2.0,26.0,242.0,90.0,127.0,25.0,0.0,,
LOUISIANA-Nonmetropolitan Counties,Madison,77.0,0.0,1.0,1.0,75.0,157.0,42.0,100.0,15.0,1.0,,
LOUISIANA-Nonmetropolitan Counties,Morehouse,30.0,2.0,2.0,5.0,21.0,544.0,82.0,429.0,33.0,2.0,,
LOUISIANA-Nonmetropolitan Counties,Natchitoches,111.0,0.0,3.0,4.0,104.0,408.0,96.0,278.0,34.0,1.0,,
LOUISIANA-Nonmetropolitan Counties,Red River,19.0,0.0,1.0,0.0,18.0,90.0,20.0,63.0,7.0,0.0,,
LOUISIANA-Nonmetropolitan Counties,Richland,8.0,0.0,1.0,0.0,7.0,173.0,30.0,127.0,16.0,0.0,,
LOUISIANA-Nonmetropolitan Counties,Sabine,34.0,1.0,0.0,2.0,31.0,322.0,96.0,202.0,24.0,0.0,,
LOUISIANA-Nonmetropolitan Counties,St. James,172.0,2.0,2.0,6.0,162.0,628.0,159.0,429.0,40.0,3.0,,
LOUISIANA-Nonmetropolitan Counties,St. Mary,228.0,2.0,14.0,47.0,165.0,918.0,213.0,654.0,51.0,1.0,,
LOUISIANA-Nonmetropolitan Counties,Tangipahoa,1042.0,3.0,25.0,73.0,941.0,4583.0,1851.0,2594.0,138.0,1.0,,
