State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,
ALABAMA Nonmetropolitan Counties,Wilcox,6.0,0.0,0.0,0.0,6.0,19.0,3.0,11.0,5.0,,,
ALABAMA Nonmetropolitan Counties,Winston,17.0,0.0,1.0,0.0,16.0,235.0,58.0,169.0,8.0,,,
ARIZONA-Metropolitan Counties,Coconino,123.0,0.0,15.0,3.0,105.0,559.0,171.0,373.0,15.0,16.0,,
ARIZONA-Metropolitan Counties,Maricopa,1018.0,26.0,23.0,121.0,848.0,7260.0,2050.0,4303.0,907.0,153.0,,
ARIZONA-Metropolitan Counties,Mohave,191.0,7.0,16.0,15.0,153.0,2411.0,894.0,1303.0,214.0,22.0,,
ARIZONA-Metropolitan Counties,Pima,674.0,28.0,72.0,234.0,340.0,11987.0,2762.0,7754.0,1471.0,126.0,,
ARIZONA-Metropolitan Counties,Pinal,198.0,7.0,39.0,36.0,116.0,3930.0,493.0,2731.0,706.0,24.0,,
ARIZONA-Metropolitan Counties,Yavapai,302.0,3.0,20.0,6.0,273.0,1568.0,536.0,893.0,139.0,9.0,,
ARIZONA-Metropolitan Counties,Yuma2 ,96.0,2.0,5.0,10.0,79.0,934.0,394.0,422.0,118.0,9.0,,
ARIZONA-Nonmetropolitan Counties,Apache,28.0,0.0,6.0,0.0,22.0,234.0,102.0,126.0,6.0,0.0,,
ARIZONA-Nonmetropolitan Counties,Cochise,446.0,4.0,16.0,14.0,412.0,1027.0,360.0,527.0,140.0,10.0,,
ARIZONA-Nonmetropolitan Counties,Gila,66.0,0.0,2.0,2.0,62.0,386.0,130.0,201.0,55.0,11.0,,
ARIZONA-Nonmetropolitan Counties,Graham,276.0,0.0,0.0,0.0,276.0,248.0,101.0,131.0,16.0,16.0,,
ARIZONA-Nonmetropolitan Counties,La Paz,70.0,0.0,0.0,2.0,68.0,368.0,100.0,232.0,36.0,8.0,,
ARIZONA-Nonmetropolitan Counties,Navajo,58.0,0.0,10.0,1.0,47.0,636.0,323.0,241.0,72.0,4.0,,
ARIZONA-Nonmetropolitan Counties,Santa Cruz,5.0,0.0,0.0,3.0,2.0,437.0,181.0,154.0,102.0,0.0,,
ARKANSAS-Metropolitan Counties,Benton,129.0,1.0,33.0,0.0,95.0,500.0,221.0,240.0,39.0,3.0,,
ARKANSAS-Metropolitan Counties,Cleveland,2.0,1.0,1.0,0.0,0.0,130.0,55.0,67.0,8.0,3.0,,
ARKANSAS-Metropolitan Counties,Craighead,21.0,0.0,1.0,1.0,19.0,316.0,134.0,149.0,33.0,5.0,,
ARKANSAS-Metropolitan Counties,Crawford,16.0,0.0,5.0,1.0,10.0,300.0,113.0,157.0,30.0,1.0,,
ARKANSAS-Metropolitan Counties,Crittenden,80.0,0.0,3.0,8.0,69.0,406.0,117.0,255.0,34.0,10.0,,
ARKANSAS-Metropolitan Counties,Faulkner,50.0,2.0,13.0,0.0,35.0,716.0,187.0,458.0,71.0,10.0,,
ARKANSAS-Metropolitan Counties,Franklin,24.0,0.0,1.0,0.0,23.0,196.0,78.0,107.0,11.0,2.0,,
ARKANSAS-Metropolitan Counties,Garland,129.0,3.0,25.0,14.0,87.0,2504.0,1152.0,1170.0,182.0,21.0,,
ARKANSAS-Metropolitan Counties,Grant,21.0,0.0,3.0,0.0,18.0,169.0,68.0,84.0,17.0,2.0,,
ARKANSAS-Metropolitan Counties,Jefferson,84.0,4.0,9.0,6.0,65.0,535.0,240.0,229.0,66.0,10.0,,
ARKANSAS-Metropolitan Counties,Lincoln,14.0,0.0,2.0,0.0,12.0,93.0,56.0,33.0,4.0,2.0,,
