State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacydefinition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3,
ALABAMA - Metropolitan Counties,Autauga,72.0,0.0,15.0,,3.0,54.0,444.0,160.0,238.0,46.0,,
ALABAMA - Metropolitan Counties,Baldwin,111.0,0.0,13.0,,27.0,71.0,674.0,250.0,380.0,44.0,,
ALABAMA - Metropolitan Counties,Bibb,8.0,0.0,0.0,,0.0,8.0,123.0,65.0,40.0,18.0,,
ALABAMA - Metropolitan Counties,Blount,91.0,0.0,9.0,,0.0,82.0,947.0,302.0,562.0,83.0,,
ALABAMA - Metropolitan Counties,Calhoun,28.0,0.0,7.0,,5.0,16.0,453.0,183.0,259.0,11.0,,
ALABAMA - Metropolitan Counties,Chilton,84.0,1.0,23.0,,1.0,59.0,604.0,228.0,332.0,44.0,,
ALABAMA - Metropolitan Counties,Elmore,69.0,0.0,18.0,,6.0,45.0,783.0,269.0,494.0,20.0,,
ALABAMA - Metropolitan Counties,Etowah,110.0,2.0,25.0,,3.0,80.0,607.0,261.0,310.0,36.0,,
ALABAMA - Metropolitan Counties,Geneva,36.0,1.0,10.0,,1.0,24.0,296.0,87.0,186.0,23.0,,
ALABAMA - Metropolitan Counties,Hale,39.0,0.0,3.0,,1.0,35.0,137.0,44.0,78.0,15.0,,
ALABAMA - Metropolitan Counties,Henry,27.0,2.0,4.0,,1.0,20.0,146.0,75.0,61.0,10.0,,
ALABAMA - Metropolitan Counties,Houston,103.0,0.0,25.0,,12.0,66.0,605.0,185.0,361.0,59.0,,
ALABAMA - Metropolitan Counties,Jefferson,705.0,5.0,81.0,,183.0,436.0,3678.0,1908.0,1664.0,106.0,31.0,
ALABAMA - Metropolitan Counties,Lawrence,65.0,2.0,9.0,,5.0,49.0,459.0,142.0,286.0,31.0,,
ALABAMA - Metropolitan Counties,Limestone,86.0,0.0,14.0,,5.0,67.0,787.0,263.0,468.0,56.0,,
ALABAMA - Metropolitan Counties,Lowndes,32.0,2.0,6.0,,1.0,23.0,213.0,99.0,88.0,26.0,,
ALABAMA - Metropolitan Counties,Madison,317.0,1.0,62.0,,30.0,224.0,2215.0,630.0,1418.0,167.0,,
ALABAMA - Metropolitan Counties,Mobile,224.0,5.0,48.0,,40.0,131.0,2387.0,739.0,1421.0,227.0,,
ALABAMA - Metropolitan Counties,Montgomery,12.0,0.0,0.0,,3.0,9.0,146.0,76.0,53.0,17.0,,
ALABAMA - Metropolitan Counties,Russell,55.0,3.0,10.0,,1.0,41.0,375.0,122.0,219.0,34.0,,
ALABAMA - Metropolitan Counties,Tuscaloosa,223.0,6.0,7.0,,26.0,184.0,1446.0,461.0,872.0,113.0,,
ALABAMA - Nonmetropolitan Counties,Barbour,21.0,1.0,2.0,,2.0,16.0,115.0,43.0,63.0,9.0,,
ALABAMA - Nonmetropolitan Counties,Butler,35.0,1.0,6.0,,0.0,28.0,141.0,49.0,85.0,7.0,,
ALABAMA - Nonmetropolitan Counties,Chambers,4.0,0.0,0.0,,0.0,4.0,120.0,69.0,45.0,6.0,,
ALABAMA - Nonmetropolitan Counties,Cherokee,64.0,1.0,12.0,,1.0,50.0,448.0,169.0,250.0,29.0,,
ALABAMA - Nonmetropolitan Counties,Choctaw,7.0,0.0,0.0,,0.0,7.0,42.0,19.0,22.0,1.0,,
ALABAMA - Nonmetropolitan Counties,Clarke,56.0,0.0,6.0,,4.0,46.0,135.0,62.0,57.0,16.0,,
ALABAMA - Nonmetropolitan Counties,Cleburne,3.0,0.0,0.0,,0.0,3.0,100.0,38.0,61.0,1.0,,
ALABAMA - Nonmetropolitan Counties,Coffee,22.0,0.0,2.0,,2.0,18.0,174.0,68.0,90.0,16.0,,
ALABAMA - Nonmetropolitan Counties,Conecuh,28.0,1.0,4.0,,1.0,22.0,89.0,29.0,54.0,6.0,,
ALABAMA - Nonmetropolitan Counties,Coosa,13.0,0.0,2.0,,1.0,10.0,212.0,82.0,119.0,11.0,,
ALABAMA - Nonmetropolitan Counties,Covington,50.0,0.0,17.0,,1.0,32.0,381.0,105.0,246.0,30.0,,
ALABAMA - Nonmetropolitan Counties,Crenshaw,54.0,2.0,9.0,,4.0,39.0,153.0,68.0,71.0,14.0,,
ALABAMA - Nonmetropolitan Counties,Cullman,53.0,3.0,33.0,,1.0,16.0,929.0,310.0,563.0,56.0,,
ALABAMA - Nonmetropolitan Counties,Dale,34.0,1.0,9.0,,0.0,24.0,163.0,43.0,107.0,13.0,,
ALABAMA - Nonmetropolitan Counties,Dallas,60.0,2.0,9.0,,6.0,43.0,509.0,176.0,305.0,28.0,,
ALABAMA - Nonmetropolitan Counties,De Kalb,157.0,2.0,31.0,,3.0,121.0,801.0,333.0,395.0,73.0,,
ALABAMA - Nonmetropolitan Counties,Fayette,8.0,0.0,1.0,,1.0,6.0,97.0,31.0,58.0,8.0,,
ALABAMA - Nonmetropolitan Counties,Franklin,47.0,1.0,8.0,,4.0,34.0,285.0,102.0,173.0,10.0,,
ALABAMA - Nonmetropolitan Counties,Greene,35.0,1.0,1.0,,3.0,30.0,92.0,32.0,48.0,12.0,,
ALABAMA - Nonmetropolitan Counties,Jackson,100.0,1.0,33.0,,1.0,65.0,577.0,220.0,298.0,59.0,,
ALABAMA - Nonmetropolitan Counties,Macon,28.0,0.0,2.0,,6.0,20.0,189.0,84.0,88.0,17.0,,
ALABAMA - Nonmetropolitan Counties,Marengo,35.0,1.0,2.0,,2.0,30.0,194.0,72.0,107.0,15.0,,
ALABAMA - Nonmetropolitan Counties,Marion,22.0,1.0,2.0,,0.0,19.0,168.0,59.0,97.0,12.0,,
ALABAMA - Nonmetropolitan Counties,Monroe,20.0,0.0,0.0,,1.0,19.0,121.0,50.0,65.0,6.0,,
ALABAMA - Nonmetropolitan Counties,Pike,18.0,1.0,3.0,,2.0,12.0,107.0,29.0,71.0,7.0,,
ALABAMA - Nonmetropolitan Counties,Randolph,7.0,0.0,1.0,,0.0,6.0,176.0,81.0,94.0,1.0,,
ALABAMA - Nonmetropolitan Counties,Sumter,21.0,2.0,1.0,,3.0,15.0,71.0,30.0,37.0,4.0,,
ALABAMA - Nonmetropolitan Counties,Talladega,79.0,1.0,11.0,,11.0,56.0,858.0,315.0,479.0,64.0,,
ALABAMA - Nonmetropolitan Counties,Tallapoosa,21.0,2.0,10.0,,0.0,9.0,186.0,75.0,103.0,8.0,,
ALABAMA - Nonmetropolitan Counties,Washington,34.0,0.0,1.0,,0.0,33.0,165.0,55.0,97.0,13.0,,
ALABAMA - Nonmetropolitan Counties,Wilcox,29.0,2.0,2.0,,2.0,23.0,79.0,15.0,56.0,8.0,,
ALABAMA - Nonmetropolitan Counties,Winston,26.0,2.0,5.0,,0.0,19.0,168.0,86.0,74.0,8.0,,
ARIZONA - Metropolitan Counties,Cochise,231.0,2.0,,9.0,9.0,211.0,706.0,106.0,558.0,42.0,0.0,
ARIZONA - Metropolitan Counties,Coconino,109.0,1.0,,22.0,3.0,83.0,421.0,136.0,269.0,16.0,28.0,
ARIZONA - Metropolitan Counties,Maricopa,1100.0,18.0,,79.0,78.0,925.0,5227.0,1231.0,3471.0,525.0,58.0,
ARIZONA - Metropolitan Counties,Mohave,132.0,7.0,,5.0,13.0,107.0,2140.0,787.0,1190.0,163.0,,
ARIZONA - Metropolitan Counties,Pima,679.0,16.0,,80.0,153.0,430.0,9606.0,2124.0,6794.0,688.0,74.0,
ARIZONA - Metropolitan Counties,Pinal4,158.0,8.0,,28.0,18.0,104.0,,618.0,2754.0,,12.0,
ARIZONA - Metropolitan Counties,Yavapai,160.0,1.0,,30.0,7.0,122.0,1242.0,396.0,736.0,110.0,10.0,
ARIZONA - Metropolitan Counties,Yuma,163.0,6.0,15.0,,4.0,138.0,1179.0,557.0,539.0,83.0,9.0,
ARIZONA - Nonmetropolitan Counties,Apache,53.0,0.0,,2.0,3.0,48.0,206.0,96.0,101.0,9.0,35.0,
ARIZONA - Nonmetropolitan Counties,Gila,64.0,1.0,,3.0,1.0,59.0,407.0,89.0,278.0,40.0,,
ARIZONA - Nonmetropolitan Counties,Graham,96.0,0.0,,1.0,0.0,95.0,172.0,50.0,103.0,19.0,1.0,
ARIZONA - Nonmetropolitan Counties,La Paz,53.0,0.0,,0.0,4.0,49.0,386.0,103.0,255.0,28.0,1.0,
ARIZONA - Nonmetropolitan Counties,Navajo,54.0,0.0,,4.0,0.0,50.0,505.0,268.0,190.0,47.0,4.0,
ARIZONA - Nonmetropolitan Counties,Santa Cruz,2.0,0.0,,0.0,1.0,1.0,202.0,78.0,89.0,35.0,0.0,
ARKANSAS - Metropolitan Counties,Benton,85.0,1.0,27.0,,2.0,55.0,417.0,198.0,197.0,22.0,8.0,
ARKANSAS - Metropolitan Counties,Cleveland,1.0,0.0,0.0,,0.0,1.0,99.0,52.0,44.0,3.0,2.0,
ARKANSAS - Metropolitan Counties,Craighead,16.0,0.0,8.0,,0.0,8.0,258.0,114.0,136.0,8.0,3.0,
ARKANSAS - Metropolitan Counties,Crawford,91.0,1.0,6.0,,2.0,82.0,404.0,91.0,279.0,34.0,0.0,
ARKANSAS - Metropolitan Counties,Crittenden,140.0,0.0,6.0,,3.0,131.0,453.0,163.0,254.0,36.0,4.0,
ARKANSAS - Metropolitan Counties,Faulkner,95.0,1.0,23.0,,1.0,70.0,1179.0,347.0,708.0,124.0,7.0,
ARKANSAS - Metropolitan Counties,Garland,319.0,2.0,45.0,,17.0,255.0,1997.0,826.0,1076.0,95.0,0.0,
ARKANSAS - Metropolitan Counties,Grant,20.0,0.0,2.0,,0.0,18.0,202.0,75.0,111.0,16.0,0.0,
ARKANSAS - Metropolitan Counties,Jefferson,53.0,2.0,13.0,,1.0,37.0,537.0,210.0,269.0,58.0,4.0,
ARKANSAS - Metropolitan Counties,Lincoln,6.0,0.0,0.0,,0.0,6.0,52.0,27.0,22.0,3.0,0.0,
ARKANSAS - Metropolitan Counties,Lonoke,52.0,1.0,6.0,,2.0,43.0,339.0,72.0,181.0,86.0,6.0,
ARKANSAS - Metropolitan Counties,Madison,34.0,0.0,4.0,,2.0,28.0,107.0,61.0,43.0,3.0,2.0,
ARKANSAS - Metropolitan Counties,Perry,39.0,0.0,4.0,,0.0,35.0,233.0,73.0,155.0,5.0,0.0,
ARKANSAS - Metropolitan Counties,Poinsett,4.0,0.0,2.0,,1.0,1.0,99.0,1.0,97.0,1.0,0.0,
ARKANSAS - Metropolitan Counties,Pulaski,317.0,0.0,16.0,,28.0,273.0,2247.0,885.0,1149.0,213.0,17.0,
ARKANSAS - Metropolitan Counties,Sebastian,55.0,0.0,7.0,,1.0,47.0,334.0,99.0,219.0,16.0,1.0,
ARKANSAS - Metropolitan Counties,Washington,160.0,1.0,17.0,,1.0,141.0,492.0,191.0,270.0,31.0,5.0,
ARKANSAS - Nonmetropolitan Counties,Arkansas,16.0,2.0,2.0,,0.0,12.0,144.0,33.0,88.0,23.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Ashley,14.0,0.0,5.0,,0.0,9.0,199.0,59.0,127.0,13.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Baxter,18.0,1.0,6.0,,0.0,11.0,670.0,180.0,465.0,25.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Bradley,9.0,0.0,0.0,,1.0,8.0,29.0,8.0,14.0,7.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Calhoun,4.0,0.0,1.0,,0.0,3.0,18.0,5.0,8.0,5.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Carroll,25.0,0.0,4.0,,0.0,21.0,302.0,51.0,230.0,21.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Chicot,5.0,0.0,0.0,,2.0,3.0,98.0,37.0,60.0,1.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Clark,10.0,0.0,1.0,,0.0,9.0,114.0,37.0,72.0,5.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Clay,19.0,0.0,12.0,,0.0,7.0,52.0,25.0,27.0,0.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Cleburne,34.0,1.0,3.0,,1.0,29.0,516.0,210.0,279.0,27.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Columbia,33.0,0.0,2.0,,2.0,29.0,135.0,39.0,82.0,14.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Conway,20.0,0.0,1.0,,0.0,19.0,348.0,74.0,249.0,25.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Cross,37.0,0.0,4.0,,0.0,33.0,172.0,69.0,91.0,12.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Dallas,3.0,0.0,1.0,,0.0,2.0,41.0,20.0,21.0,0.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Drew,31.0,0.0,2.0,,1.0,28.0,157.0,51.0,90.0,16.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Franklin,28.0,0.0,4.0,,0.0,24.0,217.0,71.0,139.0,7.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Fulton,16.0,0.0,4.0,,0.0,12.0,66.0,0.0,53.0,13.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Greene,13.0,0.0,0.0,,0.0,13.0,263.0,99.0,160.0,4.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Hempstead,61.0,0.0,9.0,,1.0,51.0,274.0,64.0,191.0,19.0,6.0,
ARKANSAS - Nonmetropolitan Counties,Howard,7.0,0.0,4.0,,0.0,3.0,112.0,43.0,68.0,1.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Independence,179.0,4.0,21.0,,13.0,141.0,1393.0,513.0,801.0,79.0,19.0,
ARKANSAS - Nonmetropolitan Counties,Izard,21.0,2.0,4.0,,0.0,15.0,251.0,90.0,159.0,2.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Johnson,22.0,2.0,9.0,,0.0,11.0,203.0,143.0,55.0,5.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Lawrence,1.0,0.0,0.0,,0.0,1.0,59.0,13.0,45.0,1.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Logan,24.0,2.0,4.0,,0.0,18.0,276.0,119.0,136.0,21.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Marion,42.0,1.0,4.0,,1.0,36.0,191.0,72.0,117.0,2.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Mississippi,36.0,0.0,4.0,,3.0,29.0,428.0,114.0,254.0,60.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Montgomery,12.0,0.0,5.0,,0.0,7.0,70.0,22.0,38.0,10.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Newton,22.0,0.0,0.0,,0.0,22.0,91.0,36.0,49.0,6.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Ouachita,19.0,1.0,1.0,,0.0,17.0,134.0,55.0,71.0,8.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Pike,10.0,4.0,4.0,,0.0,2.0,61.0,19.0,39.0,3.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Polk,21.0,0.0,7.0,,0.0,14.0,202.0,61.0,127.0,14.0,6.0,
ARKANSAS - Nonmetropolitan Counties,Pope,68.0,0.0,7.0,,2.0,59.0,432.0,164.0,237.0,31.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Randolph,19.0,0.0,1.0,,1.0,17.0,257.0,75.0,170.0,12.0,6.0,
ARKANSAS - Nonmetropolitan Counties,Scott,11.0,0.0,2.0,,1.0,8.0,115.0,56.0,50.0,9.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Searcy,18.0,0.0,1.0,,0.0,17.0,30.0,8.0,17.0,5.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Sevier,19.0,0.0,3.0,,1.0,15.0,203.0,71.0,113.0,19.0,1.0,
ARKANSAS - Nonmetropolitan Counties,St. Francis,14.0,1.0,2.0,,1.0,10.0,344.0,103.0,240.0,1.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Stone,28.0,0.0,4.0,,0.0,24.0,229.0,87.0,129.0,13.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Union,51.0,2.0,2.0,,5.0,42.0,395.0,119.0,245.0,31.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Van Buren,36.0,1.0,2.0,,0.0,33.0,311.0,58.0,220.0,33.0,3.0,
ARKANSAS - Nonmetropolitan Counties,White,59.0,2.0,11.0,,3.0,43.0,1161.0,460.0,593.0,108.0,5.0,
ARKANSAS - Nonmetropolitan Counties,Yell,27.0,0.0,3.0,,2.0,22.0,244.0,86.0,138.0,20.0,2.0,
CALIFORNIA - Metropolitan Counties,Alameda,648.0,5.0,,21.0,194.0,428.0,2409.0,659.0,947.0,803.0,21.0,
CALIFORNIA - Metropolitan Counties,Butte,96.0,7.0,,10.0,17.0,62.0,1210.0,515.0,686.0,9.0,0.0,
CALIFORNIA - Metropolitan Counties,Contra Costa,429.0,6.0,,29.0,118.0,276.0,2138.0,838.0,1288.0,12.0,18.0,
CALIFORNIA - Metropolitan Counties,El Dorado,210.0,2.0,,26.0,16.0,166.0,2066.0,747.0,1269.0,50.0,4.0,
CALIFORNIA - Metropolitan Counties,Fresno,849.0,11.0,,8.0,93.0,737.0,4212.0,1358.0,2133.0,721.0,142.0,
CALIFORNIA - Metropolitan Counties,Imperial,199.0,1.0,,14.0,11.0,173.0,714.0,260.0,433.0,21.0,8.0,
CALIFORNIA - Metropolitan Counties,Kern,2157.0,23.0,,92.0,409.0,1633.0,10641.0,3859.0,5044.0,1738.0,254.0,
CALIFORNIA - Metropolitan Counties,Kings,171.0,4.0,,12.0,16.0,139.0,593.0,235.0,303.0,55.0,9.0,
CALIFORNIA - Metropolitan Counties,Los Angeles,5323.0,72.0,,171.0,1357.0,3723.0,16004.0,4363.0,8095.0,3546.0,157.0,
CALIFORNIA - Metropolitan Counties,Madera,367.0,6.0,,28.0,18.0,315.0,1365.0,666.0,675.0,24.0,4.0,
CALIFORNIA - Metropolitan Counties,Marin,99.0,2.0,,7.0,12.0,78.0,710.0,269.0,440.0,1.0,3.0,
CALIFORNIA - Metropolitan Counties,Merced,545.0,17.0,,15.0,36.0,477.0,1833.0,687.0,1116.0,30.0,3.0,
CALIFORNIA - Metropolitan Counties,Monterey,205.0,12.0,,11.0,46.0,136.0,1412.0,482.0,906.0,24.0,6.0,
CALIFORNIA - Metropolitan Counties,Napa,39.0,0.0,,5.0,4.0,30.0,372.0,140.0,229.0,3.0,3.0,
CALIFORNIA - Metropolitan Counties,Orange,241.0,1.0,,9.0,23.0,208.0,1241.0,261.0,877.0,103.0,6.0,
CALIFORNIA - Metropolitan Counties,Placer,262.0,1.0,,28.0,13.0,220.0,1763.0,640.0,1083.0,40.0,8.0,
CALIFORNIA - Metropolitan Counties,Riverside,692.0,20.0,,30.0,142.0,500.0,7786.0,2405.0,4192.0,1189.0,25.0,
CALIFORNIA - Metropolitan Counties,Sacramento,3033.0,30.0,,158.0,1027.0,1818.0,12011.0,4211.0,7683.0,117.0,65.0,
CALIFORNIA - Metropolitan Counties,San Benito,50.0,0.0,,7.0,5.0,38.0,205.0,61.0,139.0,5.0,0.0,
CALIFORNIA - Metropolitan Counties,San Bernardino,980.0,18.0,,59.0,133.0,770.0,6029.0,2219.0,2560.0,1250.0,71.0,
CALIFORNIA - Metropolitan Counties,San Diego,1505.0,6.0,,78.0,206.0,1215.0,5607.0,1682.0,3092.0,833.0,41.0,
CALIFORNIA - Metropolitan Counties,San Joaquin,640.0,14.0,,20.0,144.0,462.0,4331.0,1520.0,2651.0,160.0,12.0,
CALIFORNIA - Metropolitan Counties,San Luis Obispo,298.0,2.0,,26.0,9.0,261.0,1327.0,540.0,781.0,6.0,4.0,
CALIFORNIA - Metropolitan Counties,San Mateo,310.0,0.0,,13.0,51.0,246.0,2792.0,545.0,1959.0,288.0,13.0,
CALIFORNIA - Metropolitan Counties,Santa Barbara,268.0,1.0,,42.0,29.0,196.0,1773.0,569.0,1191.0,13.0,10.0,
CALIFORNIA - Metropolitan Counties,Santa Clara,189.0,3.0,,13.0,23.0,150.0,1490.0,363.0,951.0,176.0,0.0,
CALIFORNIA - Metropolitan Counties,Santa Cruz,296.0,3.0,,20.0,35.0,238.0,1874.0,740.0,1118.0,16.0,15.0,
CALIFORNIA - Metropolitan Counties,Shasta,501.0,8.0,,27.0,29.0,437.0,961.0,504.0,408.0,49.0,63.0,
CALIFORNIA - Metropolitan Counties,Solano,121.0,1.0,,8.0,15.0,97.0,404.0,209.0,170.0,25.0,11.0,
CALIFORNIA - Metropolitan Counties,Sonoma,592.0,5.0,,33.0,51.0,503.0,1357.0,552.0,795.0,10.0,17.0,
CALIFORNIA - Metropolitan Counties,Stanislaus,365.0,13.0,,20.0,106.0,226.0,2451.0,1076.0,1312.0,63.0,10.0,
CALIFORNIA - Metropolitan Counties,Sutter,70.0,2.0,,7.0,5.0,56.0,904.0,341.0,504.0,59.0,1.0,
CALIFORNIA - Metropolitan Counties,Tulare4,641.0,18.0,,20.0,108.0,495.0,,1180.0,1613.0,,,
CALIFORNIA - Metropolitan Counties,Ventura,123.0,3.0,,13.0,23.0,84.0,1027.0,307.0,648.0,72.0,18.0,
CALIFORNIA - Metropolitan Counties,Yolo,43.0,0.0,,4.0,3.0,36.0,409.0,134.0,261.0,14.0,9.0,
CALIFORNIA - Metropolitan Counties,Yuba,185.0,3.0,,22.0,24.0,136.0,1303.0,457.0,839.0,7.0,13.0,
CALIFORNIA - Nonmetropolitan Counties,Alpine,6.0,0.0,,0.0,0.0,6.0,33.0,8.0,25.0,0.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Amador,67.0,0.0,,5.0,7.0,55.0,440.0,176.0,262.0,2.0,5.0,
CALIFORNIA - Nonmetropolitan Counties,Calaveras,121.0,5.0,,20.0,10.0,86.0,843.0,332.0,504.0,7.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Colusa,24.0,0.0,,3.0,1.0,20.0,308.0,92.0,209.0,7.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Del Norte,81.0,0.0,,13.0,16.0,52.0,272.0,161.0,109.0,2.0,11.0,
CALIFORNIA - Nonmetropolitan Counties,Glenn,107.0,0.0,,9.0,4.0,94.0,325.0,120.0,198.0,7.0,1.0,
CALIFORNIA - Nonmetropolitan Counties,Humboldt,153.0,3.0,,18.0,32.0,100.0,1149.0,596.0,520.0,33.0,13.0,
CALIFORNIA - Nonmetropolitan Counties,Inyo,47.0,0.0,,7.0,1.0,39.0,183.0,74.0,107.0,2.0,1.0,
CALIFORNIA - Nonmetropolitan Counties,Lake,216.0,2.0,,16.0,29.0,169.0,759.0,373.0,380.0,6.0,8.0,
CALIFORNIA - Nonmetropolitan Counties,Lassen,43.0,0.0,,7.0,0.0,36.0,169.0,74.0,93.0,2.0,3.0,
CALIFORNIA - Nonmetropolitan Counties,Mariposa,84.0,0.0,,6.0,1.0,77.0,291.0,98.0,190.0,3.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Mendocino,265.0,4.0,,21.0,21.0,219.0,683.0,309.0,361.0,13.0,24.0,
CALIFORNIA - Nonmetropolitan Counties,Modoc,41.0,1.0,,8.0,1.0,31.0,85.0,34.0,48.0,3.0,2.0,
CALIFORNIA - Nonmetropolitan Counties,Mono,10.0,0.0,,0.0,0.0,10.0,68.0,20.0,46.0,2.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Nevada,274.0,2.0,,13.0,8.0,251.0,631.0,353.0,272.0,6.0,1.0,
CALIFORNIA - Nonmetropolitan Counties,Plumas,90.0,1.0,,12.0,2.0,75.0,370.0,141.0,227.0,2.0,2.0,
CALIFORNIA - Nonmetropolitan Counties,Sierra,7.0,0.0,,0.0,0.0,7.0,77.0,43.0,32.0,2.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Siskiyou,23.0,0.0,,0.0,0.0,23.0,178.0,91.0,85.0,2.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Tehama,158.0,1.0,,7.0,3.0,147.0,274.0,99.0,175.0,0.0,14.0,
CALIFORNIA - Nonmetropolitan Counties,Trinity,30.0,1.0,,1.0,5.0,23.0,106.0,46.0,60.0,0.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Tuolumne,90.0,0.0,,6.0,8.0,76.0,771.0,385.0,382.0,4.0,4.0,
COLORADO - Metropolitan Counties,Adams,429.0,7.0,104.0,,45.0,273.0,2428.0,523.0,1401.0,504.0,17.0,
COLORADO - Metropolitan Counties,Arapahoe,225.0,1.0,29.0,,30.0,165.0,1228.0,311.0,808.0,109.0,32.0,
COLORADO - Metropolitan Counties,Clear Creek,17.0,0.0,2.0,,0.0,15.0,60.0,15.0,41.0,4.0,0.0,
COLORADO - Metropolitan Counties,Douglas,126.0,0.0,45.0,,6.0,75.0,1347.0,298.0,970.0,79.0,15.0,
COLORADO - Metropolitan Counties,El Paso,475.0,13.0,93.0,,36.0,333.0,2588.0,769.0,1578.0,241.0,23.0,
COLORADO - Metropolitan Counties,Gilpin,4.0,0.0,1.0,,0.0,3.0,35.0,8.0,22.0,5.0,0.0,
COLORADO - Metropolitan Counties,Jefferson,142.0,2.0,39.0,,10.0,91.0,2618.0,458.0,2016.0,144.0,14.0,
COLORADO - Metropolitan Counties,Larimer,121.0,1.0,32.0,,7.0,81.0,835.0,179.0,617.0,39.0,9.0,
COLORADO - Metropolitan Counties,Mesa,180.0,2.0,62.0,,4.0,112.0,1072.0,224.0,786.0,62.0,5.0,
COLORADO - Metropolitan Counties,Park,13.0,1.0,5.0,,1.0,6.0,59.0,21.0,34.0,4.0,2.0,
COLORADO - Metropolitan Counties,Pueblo,50.0,3.0,6.0,,8.0,33.0,1238.0,217.0,943.0,78.0,7.0,
COLORADO - Metropolitan Counties,Teller,10.0,2.0,3.0,,0.0,5.0,87.0,42.0,44.0,1.0,1.0,
COLORADO - Metropolitan Counties,Weld,121.0,0.0,15.0,,2.0,104.0,677.0,182.0,414.0,81.0,8.0,
COLORADO - Nonmetropolitan Counties,Alamosa,1.0,0.0,0.0,,0.0,1.0,47.0,5.0,42.0,0.0,1.0,
COLORADO - Nonmetropolitan Counties,Archuleta,14.0,0.0,4.0,,0.0,10.0,151.0,86.0,60.0,5.0,1.0,
COLORADO - Nonmetropolitan Counties,Baca,8.0,0.0,3.0,,0.0,5.0,6.0,2.0,2.0,2.0,0.0,
COLORADO - Nonmetropolitan Counties,Bent,10.0,0.0,2.0,,0.0,8.0,88.0,28.0,57.0,3.0,1.0,
COLORADO - Nonmetropolitan Counties,Chaffee,9.0,0.0,2.0,,1.0,6.0,86.0,32.0,50.0,4.0,1.0,
COLORADO - Nonmetropolitan Counties,Cheyenne,1.0,0.0,1.0,,0.0,0.0,8.0,0.0,7.0,1.0,0.0,
COLORADO - Nonmetropolitan Counties,Conejos,7.0,1.0,0.0,,0.0,6.0,31.0,12.0,15.0,4.0,1.0,
COLORADO - Nonmetropolitan Counties,Costilla,3.0,0.0,0.0,,0.0,3.0,13.0,10.0,1.0,2.0,0.0,
COLORADO - Nonmetropolitan Counties,Crowley,5.0,0.0,0.0,,0.0,5.0,2.0,2.0,0.0,0.0,0.0,
COLORADO - Nonmetropolitan Counties,Custer,6.0,0.0,2.0,,0.0,4.0,48.0,14.0,29.0,5.0,0.0,
COLORADO - Nonmetropolitan Counties,Delta,5.0,1.0,3.0,,0.0,1.0,97.0,15.0,70.0,12.0,1.0,
COLORADO - Nonmetropolitan Counties,Dolores,1.0,0.0,0.0,,0.0,1.0,8.0,3.0,5.0,0.0,0.0,
COLORADO - Nonmetropolitan Counties,Eagle,34.0,1.0,3.0,,4.0,26.0,331.0,54.0,267.0,10.0,5.0,
